,has_fax,has_email,has_website,has_socialNetwork,has_phone,has_contact_ID
0,0461 820322,chinitarcisio@libero.it,,,0461 820322,cp_9577843435
1,,,http://www.gsbelvedere.it,,,cp_5005303368
2,,,http://www.virtustrento.it,,,cp_2703301249
3,,,http://www.sandafightclub.it,,,cp_2666063943
4,,,http://www.shuitao.it,,,cp_8171504636
5,,,,,,cp_7590257550
6,,lagualdana@gmail.com,,,340 1769736,cp_7144803569
7,,,http://www.agonisticatrentina.it,,,cp_4343156310
8,,,,,,cp_8370037225
9,,,,,,cp_8742784519
10,,info@gigliodiside.org,,,340-6936591,cp_9010200960
11,,,http://gruppoanatnsud.altervista.org/Bocciofila/Direttivo/direttivo.html,,,cp_4561158865
12,,,http://www.ctcalisio.it,,,cp_4563119320
13,,,,,,cp_6467708019
14,,,http://www.tsntrento.it,,,cp_8174863304
15,,flavio6023@alice.it,,,,cp_7063582769
16,,,http://www.atatrento.it,,,cp_6143441923
17,,,http://sites.google.com/site/scuolaequitazionelaroccia/,,,cp_2243949848
18,,,http://www.gscanova.it,,,cp_5905368619
19,,,http://www.cognola.it,,,cp_4364310042
20,,lav.trentino@lav.it,http://www.lav.it/sedi/trentino,,,cp_2771840848
21,,,http://www.gsmarzola.it,,,cp_5441731955
22,,melograno.trento@gmail.com,,,340 4861156,cp_7975155666
23,,info@swingdancetrento.it,http://swingdancetrento.it/,https://www.facebook.com/swingdancetn/,"3388258307 ",cp_2282027545
24,0461 945376,amministrazione@docentisenzafrontiere.org,,,0461 945376,cp_9905031321
25,0444 326792,associazione@microfinanza.it,,,0444 326792,cp_3015364118
26,0471/1968479,info@fondazionesalvadorizanatta.it,,,,cp_5708024003
27,,alcolistianonimitrento@gmail.com,,,334 3175506,cp_3253996187
28,,,http://www.gardolocalcio.it,,,cp_5654125369
29,,,http://www.arcadinoetn.it,,,cp_4910346016
30,,,http://www.letredistanze.it,,,cp_7931812295
31,,,http://www.pallacanestrovillazzano.it,,,cp_3291143831
32,,,http://www.artimarzialitrento.it,,,cp_7412642125
33,,,http://www.trentinovolley.it,,,cp_4287733501
34,,"famiglieperaccoglienzatrentino@gmail.com ",,,0464 712175,cp_5489725702
35,,info.ottimamente@gmail.com,,,392 310 22 71,cp_1601149909
36,0463 461799,info@fondazionetrentinaautismo.it,,,0463 461700,cp_1127995867
37,,compagniadeigiovani@gmail.com,http://www.uilt.it/compagnie/2495/COMPAGNIA_DEI_GIOVANI.html,,347 4843099,cp_9087962315
38,0461236353,"laltrastrada@yahoo.it ",,,"3479870970 ",cp_2924060235
39,0461382616,segreteria@bellesini.it,,,0461930155,cp_4831694379
40,,,http://www.csitrentonuoto.it,,,cp_2621712414
41,,info@csaautismocoopsociale.it,,,342 3017463,cp_3312516455
