,Unnamed: 0,has_latitude,has_longitude,opening_hours,facility_type,architecturalBarriers,name,sport,has_capacity,menu,hiking,has_osmID,has_contactPoint
0,0,45.89232635498047,11.03329849243164,,parking,ab_16679,,,,,,269440263,cp_7449478496
1,1,45.84537506103516,11.013041496276855,,attraction,ab_16390,'Ruina Dantesca',,,,,270076323,cp_4317069097
2,2,45.89741897583008,11.045305252075195,,parking,ab_21929,,,,,,270097398,cp_1533778709
3,3,45.873985290527344,11.038881301879885,,attraction,ab_18403,'Campana dei Caduti',,,,,270099585,cp_9250708891
4,4,45.913536071777344,11.039809226989746,,parking,ab_72889,,,,,,303383004,cp_9782506275
5,5,45.88018035888672,11.019862174987791,,picnic_site,ab_5793,,,,,,305051248,cp_2312420089
6,6,45.877471923828125,11.018155097961426,,picnic_site,ab_73881,,,,,,306243653,cp_7375112536
7,7,45.86643600463867,11.00608253479004,,picnic_site,ab_52279,,,,,,307140760,cp_6608360736
8,8,45.88118743896485,11.070011138916016,,parking,ab_26269,'Parcheggio campo sportivo',,,,,369442791,cp_4809294369
9,9,45.88426971435547,11.072999000549316,,parking,ab_33880,,,,,,369443036,cp_7507806003
10,10,45.89007186889648,11.043947219848633,,cafe,ab_95776,'Caffè Bontadi',,,,,417409264,cp_2432110735
11,11,45.87514114379883,11.033567428588867,,restaurant,ab_55458,'Pizzeria Botti',,,pizza,,417856704,cp_9137659970
12,12,45.90397644042969,11.078351020812988,,viewpoint,ab_2168,,,,,,419251171,cp_3245391866
13,13,45.90674209594727,11.105379104614258,,information,ab_10862,'MTB',,,,,421806674,cp_9370792544
14,14,45.874847412109375,11.033246994018556,,restaurant,ab_46357,'Pizzeria Okay',,,,,445562136,cp_5550299132
15,15,45.89010620117188,11.109387397766112,,viewpoint,ab_12820,,,,,,454567272,cp_7761756948
16,16,45.84833526611328,11.00319480895996,,picnic_site,ab_24867,,,,,,476777392,cp_2627135016
17,17,45.88969421386719,11.01616668701172,,picnic_table,ab_36664,,,,,,516509675,cp_3752667134
18,18,45.88903045654297,11.016215324401855,,information,ab_42711,"""Pista Ciclabile Valle dell'Adige""",,,,,516509678,cp_2746775542
19,19,45.90138244628906,11.02995491027832,,picnic_site,ab_47630,,,,,,516509712,cp_2530769673
20,20,45.89918899536133,11.027949333190918,,picnic_site,ab_11377,,,,,,516509715,cp_1649210240
21,21,45.898956298828125,11.027665138244627,,picnic_site,ab_14836,,,,,,516509717,cp_9388590838
22,22,45.8624267578125,10.99949073791504,,information,ab_78472,"""Pista Ciclabile Valle dell'Adige""",,,,,516509719,cp_6011427191
23,23,45.83891296386719,11.001465797424316,,information,ab_45970,"""Pista Ciclabile Valle dell'Adige""",,,,,516520290,cp_9071410783
24,24,45.91416931152344,11.040568351745604,,information,ab_44709,"""Pista Ciclabile Valle dell'Adige""",,,,,524599074,cp_7349895879
25,25,45.85211944580078,11.010229110717772,,playground,ab_83324,,,,,,614868084,cp_7009318086
26,26,45.85438919067383,11.012250900268556,,information,ab_71153,'Biotopo Lavini di Marco',,,,yes,614868158,cp_9811732007
27,27,45.85491180419922,11.014522552490234,,viewpoint,ab_73742,'Torretta di avvistamento',,,,,614868257,cp_3505849410
28,28,45.856910705566406,11.019243240356444,,information,ab_32969,'Biotopo Lavini di Marco',,,,yes,614868311,cp_1462412816
29,29,45.8524169921875,11.010878562927246,,parking,ab_41740,,,,,,614926907,cp_1669982670
30,30,45.85580825805664,11.018006324768066,,viewpoint,ab_75729,'Torretta di avvistamento',,,,,618787853,cp_2306575547
31,31,45.86246490478516,11.033446311950684,,information,ab_70654,,,,,yes,618788142,cp_8576854649
32,32,45.89097595214844,11.034255027770996,,taxi,ab_37034,,,,,,648183974,cp_3692609267
33,33,45.88184356689453,11.024230003356934,,picnic_site,ab_6746,,,,,,664123464,cp_6125874122
34,34,45.88199234008789,11.024859428405762,,picnic_site,ab_44810,,,,,,664123468,cp_2373740612
35,35,45.84357833862305,11.008539199829102,,cafe,ab_99266,'Mery',,,,,692740839,cp_6008054187
