,has_ID,has_officialName,has_municipality,has_province,has_country,has_website,has_latitude,has_longitude,has_elevation,has_facilityType,has_uploadDate,has_addr:street,has_addr:housenumber,has_accessibleElevator,has_reservedParkinglots,has_guidanceSystem,has_accessibleToilette,has_steps,has_ramp,has_staircaseSlope,has_levelOfAccessibility
0,ab_5350, BAR CHICCO D'ORO,Trento,TN,Italia,,46.07602000985111,11.11916997987737,200.0,Bar,2010-07-20,Corso Buonarroti,12/2,False,True,False,False,False,True,Dislivello in percentuale: 11.0; Lunghezza in cm.: 87.0,yes
1,ab_271,IL PAPIRO LIBRI & CAFFE',Trento,TN,Italia,,46.06798000450618,11.12579000700535,241.0,Bar,2013-01-14,Via Galilei,5,False,True,False,False,False,True,Dislivello in percentuale: 16.0; Lunghezza in cm.: 53.0,yes
2,ab_3782,A posto - La tua auto come nuova,Trento,TN,Italia,www.aposto.it,46.0679499972928,11.117250021136016,200.0,Riparazione Autovetture,2010-08-09,Via Tommaso Gar,27/2,False,False,False,False,False,False, ,no
3,ab_3813,A.C.I.S.J.F. Associazione Casa Tridentina della Giovane,Trento,TN,Italia,www.acisjftrento.it,46.0690100146779,11.11782996501674,200.0,Associazioni,2013-01-21,Via Prepositura,58,False,False,False,False,False,True,Dislivello in percentuale: 7.8; Lunghezza in cm.: 1300.0,limited
4,ab_2894,A.D.M.O. Associazione Donatori Midollo Osseo,Trento,TN,Italia,www.admotrentino.it,46.08334005162274,11.112084301376967,180.0,Associazioni,2010-05-21,Via Sighele,7,False,True,False,False,True,False, ,yes
5,ab_5225,A.E.T. ASSOCIAZIONE EMOFILICI TRENTINI,Trento,TN,Italia,www.associazioneemofilicitrentini.com,46.05788002072734,11.120509994738027,200.0,Associazioni,2010-07-16,Via Vittorio Veneto,24,False,True,False,False,False,False, ,limited
6,ab_2906,"A.I.D.O. Associazione Italiana per la Donazione di Organi, Tessuti e Cellule",Trento,TN,Italia,www.aido.it/trento,46.08334005162274,11.112084301376967,180.0,Associazioni,2010-05-21,Via Sighele,7,False,True,False,False,False,False, ,limited
7,ab_6217,A.I.S.L.A onlus - Associazione Italiana Sclerosi Laterale Amiotrofica,Trento,TN,Italia,www.asilatrentinoaltoadige.it,46.04863000384003,11.128800032254674,200.0,Associazioni,2010-08-09,Via Fermi,23/D,False,True,False,False,False,False, ,limited
8,ab_14958,A.I.S.L.A. ASSOCIAZIONE ITALIANA SCLEROSI LATERALE AMIOTROFICA,Trento,TN,Italia,,46.05851000457002,11.121529988535457,200.0,Associazioni,2019-06-10,Via Bronzetti,29,False,True,False,True,False,True,Dislivello in percentuale: 7.0; Lunghezza in cm.: 470.0,yes
9,ab_2889,A.L.I.R. Associazione per la Lotta Insufficienza Respiratoria,Trento,TN,Italia,www.alirtrentino.it,46.065270009481,11.12212996516476,180.0,Associazioni,2010-05-24,Via Al Torrione,6,False,True,False,True,False,True,Dislivello in percentuale: 10.0; Lunghezza in cm.: 1400.0,yes
10,ab_78010,A.L.P.I.  COOPERATIVA AVVIAMENTO AL LAVORO SU PROGETTI INDIVIDUALIZZATI,Trento,TN,Italia,www.coop-alpi.it,46.03735001573216,11.126860040764711,200.0,Cooperative e Laboratori Sociali,2010-07-26,Via Ragazzi Del 99,13,False,False,False,True,False,False, ,no
11,ab_28211,A.M.A. Auto Mutuo Aiuto ,Trento,TN,Italia,www.automutuoaiuto.it,46.0730599826542,11.125220037589427,180.0,Associazioni,2010-05-24,Via Torre D'augusto,2/1,False,True,True,False,True,False, ,yes
12,ab_30212,A.N.F.F.A.S. Associazione Nazionale di Famiglie di Persone con Disabilità Intellettiva e Relazionale,Trento,TN,Italia,www.anffas.it,46.0936000040237,11.11594001348874,180.0,Associazioni,2010-05-18,Via Trener,8,False,True,False,True,True,False, ,yes
13,ab_29813,A.N.F.I. Associazione Nazionale Finanzieri d'Italia,Trento,TN,Italia,,46.0747900074696,11.124640009889674,180.0,Associazioni,2010-05-18,Largo Nazario Sauro,11,False,True,False,False,False,True,Dislivello in percentuale: 8.0; Lunghezza in cm.: 240.0,yes
14,ab_28414,A.N.M.I.C. Associazione Nazionale Mutilati e Invalidi Civili,Trento,TN,Italia,www.anmic-tn.org,46.05406001026466,11.120379991419782,180.0,Associazioni,2010-05-17,Via Orazio Benevoli,22,False,True,False,True,True,False, ,yes
15,ab_28515,A.N.M.I.L. Associazione Nazionale Mutilati e Invalidi del Lavoro ,Trento,TN,Italia,www.anmil.it,46.053969988624544,11.120500020273257,180.0,Associazioni,2010-05-25,Via San Pio X,38,False,True,False,True,True,False, ,yes
16,ab_22116,A.P.A.P.I : AGENZIA PROVINCIALE PER L'ASSISTENZA E LA PREVIDENZA INTEGRATIVA - SPORTELLO INFORMATIVO,Trento,TN,Italia,www.apapi.provincia.tn.it,46.07215000133596,11.124210018256775,187.0,Uffici Pubblici,2013-02-04,Piazza Silvio Pellico,8/3,False,True,False,False,False,True,Dislivello in percentuale: 17.5; Lunghezza in cm.: 39.0,yes
17,ab_22217,A.P.A.P.I: AGENZIA PROVINCIALE PER L'ASSISTENZA E LA PREVIDENZA INTEGRATIVA - DIREZIONE,Trento,TN,Italia,www.apapi.provincia.tn.it,46.071989990804326,11.124010026047015,187.0,Uffici Pubblici,2013-02-04,Piazza Silvio Pellico,8,False,True,False,False,True,False, ,yes
18,ab_150918,A.P.C.A.T. Associazione Provinciale dei Club degli Alcolisti in Trattamento - Centro Studi,Trento,TN,Italia,www.apcattrentino-centrostudi.it,46.04616450958697,11.11526897211864,200.0,Associazioni,2019-06-10,Via Sighele,3,False,True,False,True,False,False, ,limited
19,ab_29119,A.P.C.A.T. Associazione Provinciale dei Club degli Alcolisti in Trattamento Centro studi,Trento,TN,Italia,www.apcattrentino-centrostudi.it,46.08334005162274,11.112084301376967,180.0,Associazioni,2010-05-17,Via Sighele,7,False,True,False,True,False,False, ,limited
20,ab_69420,A.R.C.A. ASSOCIAZIONE RICERCA COMPORTAMENTO ALIMENTARE,Trento,TN,Italia,www.arcatrento.wordpress.com,46.05851000457002,11.121529988535457,200.0,Associazioni,2010-07-16,Via Bronzetti,29,False,True,False,True,False,True,Dislivello in percentuale: 7.0; Lunghezza in cm.: 470.0,yes
21,ab_28621,A.R.I.S. Associazione Riabilitazione Inserimento Sociale Famiglie Malati Psichici,Trento,TN,Italia,,46.065270009481,11.12212996516476,180.0,Associazioni,2010-05-17,Via Al Torrione,6,False,True,False,True,False,True,Dislivello in percentuale: 10.0; Lunghezza in cm.: 1400.0,yes
22,ab_29722,A.T.D. Associazione Trentina Diabetici ,Trento,TN,Italia,,46.065270009481,11.12212996516476,180.0,Associazioni,2010-05-14,Via Al Torrione,6,False,True,False,True,False,True,Dislivello in percentuale: 10.0; Lunghezza in cm.: 1400.0,yes
23,ab_28723,A.T.M.A.R. Associazione Trentina Malati Reumatici Onlus,Trento,TN,Italia,www.reumaticitrentino.it,46.065270009481,11.12212996516476,180.0,Associazioni,2010-05-19,Via Al Torrione,6,False,True,False,True,False,True,Dislivello in percentuale: 10.0; Lunghezza in cm.: 1400.0,yes
