,ID,DESCRIZIONE ACCESSIBILITA' 1,DESCRIZIONE STRINGA1 (ACCESSIBILITA' 1),VALORE STRINGA1 (ACCESSIBILITA' 1),DESCRIZIONE NUMERO1 (ACCESSIBILITA' 1),VALORE NUMERO1 (ACCESSIBILITA' 1),DESCRIZIONE DECIMALE1 (ACCESSIBILITA' 1),VALORE DECIMALE1 (ACCESSIBILITA' 1),DESCRIZIONE DECIMALE2 (ACCESSIBILITA' 1),VALORE DECIMALE2 (ACCESSIBILITA' 1),DESCRIZIONE DECIMALE3 (ACCESSIBILITA' 1),VALORE DECIMALE3 (ACCESSIBILITA' 1),DESCRIZIONE ACCESSIBILITA' 2,DESCRIZIONE STRINGA1 (ACCESSIBILITA' 2),VALORE STRINGA1 (ACCESSIBILITA' 2),DESCRIZIONE NUMERO1 (ACCESSIBILITA' 2),VALORE NUMERO1 (ACCESSIBILITA' 2),DESCRIZIONE DECIMALE1 (ACCESSIBILITA' 2),VALORE DECIMALE1 (ACCESSIBILITA' 2),DESCRIZIONE DECIMALE2 (ACCESSIBILITA' 2),VALORE DECIMALE2 (ACCESSIBILITA' 2),DESCRIZIONE DECIMALE3 (ACCESSIBILITA' 2),VALORE DECIMALE3 (ACCESSIBILITA' 2),DESCRIZIONE ACCESSIBILITA' 3,DESCRIZIONE STRINGA1 (ACCESSIBILITA' 3),VALORE STRINGA1 (ACCESSIBILITA' 3),DESCRIZIONE NUMERO1 (ACCESSIBILITA' 3),VALORE NUMERO1 (ACCESSIBILITA' 3),DESCRIZIONE DECIMALE1 (ACCESSIBILITA' 3),VALORE DECIMALE1 (ACCESSIBILITA' 3),DESCRIZIONE DECIMALE2 (ACCESSIBILITA' 3),VALORE DECIMALE2 (ACCESSIBILITA' 3),DESCRIZIONE DECIMALE3 (ACCESSIBILITA' 3),VALORE DECIMALE3 (ACCESSIBILITA' 3),DESCRIZIONE ACCESSIBILITA' 4,DESCRIZIONE STRINGA1 (ACCESSIBILITA' 4),VALORE STRINGA1 (ACCESSIBILITA' 4),DESCRIZIONE NUMERO1 (ACCESSIBILITA' 4),VALORE NUMERO1 (ACCESSIBILITA' 4),DESCRIZIONE DECIMALE1 (ACCESSIBILITA' 4),VALORE DECIMALE1 (ACCESSIBILITA' 4),DESCRIZIONE DECIMALE2 (ACCESSIBILITA' 4),VALORE DECIMALE2 (ACCESSIBILITA' 4),DESCRIZIONE DECIMALE3 (ACCESSIBILITA' 4),VALORE DECIMALE3 (ACCESSIBILITA' 4),DESCRIZIONE ACCESSIBILITA' 5,DESCRIZIONE STRINGA1 (ACCESSIBILITA' 5),VALORE STRINGA1 (ACCESSIBILITA' 5),DESCRIZIONE NUMERO1 (ACCESSIBILITA' 5),VALORE NUMERO1 (ACCESSIBILITA' 5),DESCRIZIONE DECIMALE1 (ACCESSIBILITA' 5),VALORE DECIMALE1 (ACCESSIBILITA' 5),DESCRIZIONE DECIMALE2 (ACCESSIBILITA' 5),VALORE DECIMALE2 (ACCESSIBILITA' 5),DESCRIZIONE ACCESSIBILITA' 6,DESCRIZIONE STRINGA1 (ACCESSIBILITA' 6),VALORE STRINGA1 (ACCESSIBILITA' 6),DESCRIZIONE NUMERO1 (ACCESSIBILITA' 6),VALORE NUMERO1 (ACCESSIBILITA' 6),DESCRIZIONE DECIMALE1 (ACCESSIBILITA' 6),VALORE DECIMALE1 (ACCESSIBILITA' 6),DESCRIZIONE DECIMALE2 (ACCESSIBILITA' 6),VALORE DECIMALE2 (ACCESSIBILITA' 6),DESCRIZIONE ACCESSIBILITA' 7,DESCRIZIONE STRINGA1 (ACCESSIBILITA' 7),VALORE STRINGA1 (ACCESSIBILITA' 7),DESCRIZIONE NUMERO1 (ACCESSIBILITA' 7),VALORE NUMERO1 (ACCESSIBILITA' 7),DESCRIZIONE DECIMALE1 (ACCESSIBILITA' 7),VALORE DECIMALE1 (ACCESSIBILITA' 7),DESCRIZIONE DECIMALE2 (ACCESSIBILITA' 7),VALORE DECIMALE2 (ACCESSIBILITA' 7),DESCRIZIONE ACCESSIBILITA' 8,DESCRIZIONE STRINGA1 (ACCESSIBILITA' 8),VALORE STRINGA1 (ACCESSIBILITA' 8),DESCRIZIONE NUMERO1 (ACCESSIBILITA' 8),VALORE NUMERO1 (ACCESSIBILITA' 8),DESCRIZIONE DECIMALE1 (ACCESSIBILITA' 8),VALORE DECIMALE1 (ACCESSIBILITA' 8),DESCRIZIONE DECIMALE2 (ACCESSIBILITA' 8),VALORE DECIMALE2 (ACCESSIBILITA' 8),DESCRIZIONE ACCESSIBILITA' 9,DESCRIZIONE STRINGA1 (ACCESSIBILITA' 9),VALORE STRINGA1 (ACCESSIBILITA' 9),DESCRIZIONE NUMERO1 (ACCESSIBILITA' 9),VALORE NUMERO1 (ACCESSIBILITA' 9),DESCRIZIONE DECIMALE1 (ACCESSIBILITA' 9),VALORE DECIMALE1 (ACCESSIBILITA' 9),DESCRIZIONE DECIMALE2 (ACCESSIBILITA' 9),VALORE DECIMALE2 (ACCESSIBILITA' 9),DESCRIZIONE ACCESSIBILITA' 10,DESCRIZIONE STRINGA1 (ACCESSIBILITA' 10),VALORE STRINGA1 (ACCESSIBILITA' 10),DESCRIZIONE NUMERO1 (ACCESSIBILITA' 10),VALORE NUMERO1 (ACCESSIBILITA' 10),DESCRIZIONE DECIMALE1 (ACCESSIBILITA' 10),VALORE DECIMALE1 (ACCESSIBILITA' 10),DESCRIZIONE DECIMALE2 (ACCESSIBILITA' 10),VALORE DECIMALE2 (ACCESSIBILITA' 10),DESCRIZIONE ACCESSIBILITA' 11,DESCRIZIONE STRINGA1 (ACCESSIBILITA' 11),VALORE STRINGA1 (ACCESSIBILITA' 11),DESCRIZIONE NUMERO1 (ACCESSIBILITA' 11),VALORE NUMERO1 (ACCESSIBILITA' 11),DESCRIZIONE DECIMALE1 (ACCESSIBILITA' 11),VALORE DECIMALE1 (ACCESSIBILITA' 11),DESCRIZIONE DECIMALE2 (ACCESSIBILITA' 11),VALORE DECIMALE2 (ACCESSIBILITA' 11),DESCRIZIONE ACCESSIBILITA' 12,DESCRIZIONE STRINGA1 (ACCESSIBILITA' 12),VALORE STRINGA1 (ACCESSIBILITA' 12),DESCRIZIONE NUMERO1 (ACCESSIBILITA' 12),VALORE NUMERO1 (ACCESSIBILITA' 12),DESCRIZIONE DECIMALE1 (ACCESSIBILITA' 12),VALORE DECIMALE1 (ACCESSIBILITA' 12),DESCRIZIONE DECIMALE2 (ACCESSIBILITA' 12),VALORE DECIMALE2 (ACCESSIBILITA' 12),DESCRIZIONE ACCESSIBILITA' 13,DESCRIZIONE STRINGA1 (ACCESSIBILITA' 13),VALORE STRINGA1 (ACCESSIBILITA' 13),DESCRIZIONE NUMERO1 (ACCESSIBILITA' 13),VALORE NUMERO1 (ACCESSIBILITA' 13),DESCRIZIONE DECIMALE1 (ACCESSIBILITA' 13),VALORE DECIMALE1 (ACCESSIBILITA' 13),DESCRIZIONE DECIMALE2 (ACCESSIBILITA' 13),VALORE DECIMALE2 (ACCESSIBILITA' 13),DESCRIZIONE ACCESSIBILITA' 14,DESCRIZIONE STRINGA1 (ACCESSIBILITA' 14),VALORE STRINGA1 (ACCESSIBILITA' 14),DESCRIZIONE NUMERO1 (ACCESSIBILITA' 14),VALORE NUMERO1 (ACCESSIBILITA' 14),DESCRIZIONE DECIMALE1 (ACCESSIBILITA' 14),VALORE DECIMALE1 (ACCESSIBILITA' 14),DESCRIZIONE DECIMALE2 (ACCESSIBILITA' 14),VALORE DECIMALE2 (ACCESSIBILITA' 14),DESCRIZIONE ACCESSIBILITA' 15,DESCRIZIONE STRINGA1 (ACCESSIBILITA' 15),VALORE STRINGA1 (ACCESSIBILITA' 15),DESCRIZIONE DECIMALE1 (ACCESSIBILITA' 15),VALORE DECIMALE1 (ACCESSIBILITA' 15),DESCRIZIONE DECIMALE2 (ACCESSIBILITA' 15),VALORE DECIMALE2 (ACCESSIBILITA' 15),DESCRIZIONE ACCESSIBILITA' 16,DESCRIZIONE STRINGA1 (ACCESSIBILITA' 16),VALORE STRINGA1 (ACCESSIBILITA' 16),DESCRIZIONE DECIMALE1 (ACCESSIBILITA' 16),VALORE DECIMALE1 (ACCESSIBILITA' 16),DESCRIZIONE DECIMALE2 (ACCESSIBILITA' 16),VALORE DECIMALE2 (ACCESSIBILITA' 16),DESCRIZIONE ACCESSIBILITA' 17,DESCRIZIONE STRINGA1 (ACCESSIBILITA' 17),VALORE STRINGA1 (ACCESSIBILITA' 17),DESCRIZIONE DECIMALE1 (ACCESSIBILITA' 17),VALORE DECIMALE1 (ACCESSIBILITA' 17),DESCRIZIONE ACCESSIBILITA' 18,DESCRIZIONE STRINGA1 (ACCESSIBILITA' 18),VALORE STRINGA1 (ACCESSIBILITA' 18),DESCRIZIONE DECIMALE1 (ACCESSIBILITA' 18),VALORE DECIMALE1 (ACCESSIBILITA' 18)
0,535,Servizi igienici - bagno ,Esistenza [Si/No],Si,,,Larghezza in cm.,107.0,Profondità in cm.,208.0,Altezza wc in cm.,45.0,Porta d'entrata - caratteristiche,,,,,Larghezza porta in cm.,87.0,Distanza fra porta e controporta in cm.,0.0,,,Porta d'entrata - apertura,Tipo apertura [Manuale verso interno/Automatica verso interno/Manuale verso esterno/Automatica verso esterno/Manuale scorrevole/Automatica scorrevole/Manuale verso interno ed esterno/Automatica verso interno ed esterno],Manuale verso interno,,,Altezza maniglia da terra in cm.,100.0,Forza necessaria per aprirla in kg.,0.5,,,Servizi igienici - bagno - specchio regolabile,Esistenza [Si/No],No,,,,,,,,,Servizi igienici - bagno - campanello di chiamata,Esistenza [Si/No],Si,,,,,,,Servizi igienici - bagno - porta,Verso apertura [Interno/Esterno/Entrambi/Scorrevole],Esterno,,,Larghezza in cm.,80.0,,,Servizi igienici - antibagno - apertura porta,Verso apertura [Interno/Esterno/Entrambi/Scorrevole],Esterno,,,Larghezza in cm.,80.0,,,Servizi igienici - antibagno ,Esistenza [Si/No],Si,,,Larghezza in cm.,112.0,Profondita in cm.,145.0,Parcheggi riservati alle persone disabili,Indirizzo del parcheggio riservato,CORSO BUONARROTI,Numero posti macchina riservati,1.0,Distanza dall'ingresso in metri,20.0,,,Ingresso - rampa di accesso,Esistenza [Si/No],Si,,,Dislivello in percentuale,11.0,Lunghezza in cm.,87.0,Servizi igienici - bagno - lavabo fisso,,,,,Altezza lavabo,78.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,27,Servizi igienici - bagno ,Esistenza [Si/No],Si,,,Larghezza in cm.,166.0,Profondità in cm.,185.0,Altezza wc in cm.,45.0,Porta d'entrata - caratteristiche,,,,,Larghezza porta in cm.,92.0,Distanza fra porta e controporta in cm.,0.0,,,Porta d'entrata - apertura,Tipo apertura [Manuale verso interno/Automatica verso interno/Manuale verso esterno/Automatica verso esterno/Manuale scorrevole/Automatica scorrevole/Manuale verso interno ed esterno/Automatica verso interno ed esterno],Manuale verso interno,,,Altezza maniglia da terra in cm.,108.0,Forza necessaria per aprirla in kg.,3.0,,,Servizi igienici - bagno - campanello di chiamata,Esistenza [Si/No],Si,,,,,,,,,Servizi igienici - bagno - porta,Verso apertura [Interno/Esterno/Entrambi/Scorrevole],Esterno,,,Larghezza in cm.,79.0,,,Parcheggi riservati alle persone disabili,Indirizzo del parcheggio riservato,VIA GALILEI,Numero posti macchina riservati,1.0,Distanza dall'ingresso in metri,40.0,,,Ingresso - rampa di accesso,Esistenza [Si/No],Si,,,Dislivello in percentuale,16.0,Lunghezza in cm.,53.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,378,Porta d'entrata - caratteristiche,,,,,Larghezza porta in cm.,400.0,Distanza fra porta e controporta in cm.,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,381,Servizi igienici - bagno ,Esistenza [Si/No],Si,,,Larghezza in cm.,107.0,Profondità in cm.,131.0,Altezza wc in cm.,38.0,Percorribilita interna  - ascensore - pulsantiera braille,Esistenza [Si/No],Si,,,,,,,,,Percorribilita interna  - ascensore - pulsantiera,Esistenza [Si/No],Si,,,Altezza da terra pulsantiera esterna in cm.,120.0,Altezza da terra pulsantiera interna in cm.,125.0,,,Percorribilita interna - ascensore,Esistenza [Si/No],Si,,,Larghezza in cm.,147.0,Profondita in cm.,137.0,Apertura porta in cm.,91.0,Porta d'entrata - caratteristiche,,,,,Larghezza porta in cm.,105.0,Distanza fra porta e controporta in cm.,0.0,Porta d'entrata - apertura,Tipo apertura [Manuale verso interno/Automatica verso interno/Manuale verso esterno/Automatica verso esterno/Manuale scorrevole/Automatica scorrevole/Manuale verso interno ed esterno/Automatica verso interno ed esterno],Manuale verso esterno,,,Altezza maniglia da terra in cm.,108.0,Forza necessaria per aprirla in kg.,3.0,Servizi igienici - bagno - porta,Verso apertura [Interno/Esterno/Entrambi/Scorrevole],Interno,,,Larghezza in cm.,70.0,,,Servizi igienici - bagno - specchio regolabile,Esistenza [Si/No],No,,,,,,,Servizi igienici - bagno - lavabo fisso,,,,,Altezza lavabo,80.0,,,Ingresso - rampa di accesso,Esistenza [Si/No],Si,,,Dislivello in percentuale,7.8,Lunghezza in cm.,1300.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,289,Servizi igienici - bagno ,Esistenza [Si/No],Si,,,Larghezza in cm.,180.0,Profondità in cm.,180.0,Altezza wc in cm.,0.0,Porta d'entrata - caratteristiche,,,,,Larghezza porta in cm.,85.0,Distanza fra porta e controporta in cm.,0.0,,,Porta d'entrata - apertura,Tipo apertura [Manuale verso interno/Automatica verso interno/Manuale verso esterno/Automatica verso esterno/Manuale scorrevole/Automatica scorrevole/Manuale verso interno ed esterno/Automatica verso interno ed esterno],Manuale verso interno,,,Altezza maniglia da terra in cm.,95.0,Forza necessaria per aprirla in kg.,3.0,,,Servizi igienici - bagno - porta,Verso apertura [Interno/Esterno/Entrambi/Scorrevole],Interno,,,Larghezza in cm.,65.0,,,,,Parcheggi riservati alle persone disabili,Indirizzo del parcheggio riservato,Via Sighele,Numero posti macchina riservati,1.0,Distanza dall'ingresso in metri,50.0,,,Ingresso - gradini o soglie esterni,Esistenza [Si/No],Si,Numero gradini,1.0,Altezza da terra in cm.,18.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,522,Servizi igienici - bagno ,Esistenza [Si/No],Si,,,Larghezza in cm.,144.0,Profondità in cm.,152.0,Altezza wc in cm.,40.0,Porta d'entrata - caratteristiche,,,,,Larghezza porta in cm.,87.0,Distanza fra porta e controporta in cm.,0.0,,,Porta d'entrata - apertura,Tipo apertura [Manuale verso interno/Automatica verso interno/Manuale verso esterno/Automatica verso esterno/Manuale scorrevole/Automatica scorrevole/Manuale verso interno ed esterno/Automatica verso interno ed esterno],Manuale verso interno,,,Altezza maniglia da terra in cm.,102.0,Forza necessaria per aprirla in kg.,2.0,,,Servizi igienici - bagno - campanello di chiamata,Esistenza [Si/No],No,,,,,,,,,Servizi igienici - bagno - porta,Verso apertura [Interno/Esterno/Entrambi/Scorrevole],Interno,,,Larghezza in cm.,59.0,,,Servizi igienici - antibagno - apertura porta,Verso apertura [Interno/Esterno/Entrambi/Scorrevole],Interno,,,Larghezza in cm.,77.0,,,Ingresso - ascensore - pulsantiera braille,Esistenza [Si/No],Si,,,,,,,Ingresso - ascensore - pulsantiera,Esistenza [Si/No],Si,,,Altezza da terra pulsantiera esterna in cm.,134.0,Altezza da terra pulsantiera interna in cm.,144.0,Ingresso - ascensore,Esistenza [Si/No],Si,,,Larghezza in cm.,100.0,Profondità in cm.,95.0,Ingresso - campanello e/o citofono,Esistenza [Si/No],Si,,,Altezza da terra in cm.,144.0,,,Parcheggi riservati alle persone disabili,Indirizzo del parcheggio riservato,VIA VITTORIO VENETO,Numero posti macchina riservati,1.0,Distanza dall'ingresso in metri,30.0,,,Servizi igienici - bagno - specchio regolabile,Esistenza [Si/No],No,,,,,,,Servizi igienici - antibagno ,Esistenza [Si/No],Si,,,Larghezza in cm.,258.0,Profondita in cm.,218.0,Servizi igienici - bagno - lavabo fisso,,,,,Altezza lavabo,79.0,,,,,,,,,,,,,,,,,,,,,,,,,,
6,290,Percorribilita interna  - ascensore - pulsantiera braille,Esistenza [Si/No],Si,,,,,,,,,Percorribilita interna  - ascensore - pulsantiera,Esistenza [Si/No],Si,,,Altezza da terra pulsantiera esterna in cm.,112.0,Altezza da terra pulsantiera interna in cm.,126.0,,,Percorribilita interna - ascensore,Esistenza [Si/No],Si,,,Larghezza in cm.,97.0,Profondita in cm.,119.0,Apertura porta in cm.,80.0,Porta d'entrata - caratteristiche,,,,,Larghezza porta in cm.,88.0,Distanza fra porta e controporta in cm.,0.0,,,Porta d'entrata - apertura,Tipo apertura [Manuale verso interno/Automatica verso interno/Manuale verso esterno/Automatica verso esterno/Manuale scorrevole/Automatica scorrevole/Manuale verso interno ed esterno/Automatica verso interno ed esterno],Manuale verso interno,,,Altezza maniglia da terra in cm.,108.0,Forza necessaria per aprirla in kg.,3.0,Ingresso: campanello raggiungibile in sedia a rotelle,Esistenza [Si/No],Si,,,,,,,Percorribilita interna - rampa/scivolo,Esistenza [Si/No],Si,,,Pendenza in percentuale,26.0,Lunghezza in cm.,186.0,Parcheggi riservati alle persone disabili,Indirizzo del parcheggio riservato,VIA PERINI,Numero posti macchina riservati,2.0,Distanza dall'ingresso in metri,100.0,,,Ingresso - campanello e/o citofono,Esistenza [Si/No],Si,,,Altezza da terra in cm.,128.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,621,Porta d'entrata - caratteristiche,,,,,Larghezza porta in cm.,89.5,Distanza fra porta e controporta in cm.,0.0,,,Parcheggi riservati alle persone disabili,Indirizzo del parcheggio riservato,VIA FERMI,Numero posti macchina riservati,2.0,Distanza dall'ingresso in metri,3.0,,,,,Porta d'entrata - apertura,Tipo apertura [Manuale verso interno/Automatica verso interno/Manuale verso esterno/Automatica verso esterno/Manuale scorrevole/Automatica scorrevole/Manuale verso interno ed esterno/Automatica verso interno ed esterno],Manuale scorrevole,,,Altezza maniglia da terra in cm.,0.0,Forza necessaria per aprirla in kg.,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,1495,Porta d'entrata - apertura,Tipo apertura [Manuale verso interno/Automatica verso interno/Manuale verso esterno/Automatica verso esterno/Manuale scorrevole/Automatica scorrevole/Manuale verso interno ed esterno/Automatica verso interno ed esterno],Manuale verso esterno,,,Altezza maniglia da terra in cm.,107.0,Forza necessaria per aprirla in kg.,3.0,,,Percorribilita interna  - ascensore - pulsantiera braille,Esistenza [Si/No],No,,,,,,,,,Servizi igienici - bagno - porta,Verso apertura [Interno/Esterno/Entrambi/Scorrevole],Scorrevole,,,Larghezza in cm.,89.0,,,,,Percorribilita interna  - ascensore - pulsantiera,Esistenza [Si/No],Si,,,Altezza da terra pulsantiera esterna in cm.,115.0,Altezza da terra pulsantiera interna in cm.,113.0,,,Servizi igienici - bagno - lavabo fisso,,,,,Altezza lavabo,87.0,,,Parcheggi riservati alle persone disabili,Indirizzo del parcheggio riservato,VIA BRONZETTI,Numero posti macchina riservati,1.0,Distanza dall'ingresso in metri,20.0,,,Ingresso - rampa di accesso,Esistenza [Si/No],Si,,,Dislivello in percentuale,7.0,Lunghezza in cm.,470.0,Ingresso: campanello raggiungibile in sedia a rotelle,Esistenza [Si/No],Si,,,,,,,Servizi igienici - bagno - campanello di chiamata,Esistenza [Si/No],No,,,,,,,Percorribilita interna - ascensore,Esistenza [Si/No],Si,,,Larghezza in cm.,138.0,Profondita in cm.,141.0,Ingresso - campanello e/o citofono,Esistenza [Si/No],Si,,,Altezza da terra in cm.,112.0,,,Servizi igienici - bagno dedicato - maniglioni di sostegno,Posizione [entrambi i lati/lato accostamento/lato opposto accostamento],lato accostamento,,,,,,,Servizi igienici - bagno attrezzato,Esistenza [Si/No],Si,,,,,,,Porta d'entrata - caratteristiche,,,,,Larghezza porta in cm.,124.0,Distanza fra porta e controporta in cm.,0.0,Servizi igienici - bagno - specchio regolabile,Esistenza [Si/No],Si,,,,,Servizi igienici - bagno ,Esistenza [Si/No],Si,Larghezza in cm.,219.0,Profondità in cm.,186.0,,,,,,,,,,
9,288,Percorribilita interna  - ascensore - pulsantiera braille,Esistenza [Si/No],No,,,,,,,,,Percorribilita interna  - ascensore - pulsantiera,Esistenza [Si/No],Si,,,Altezza da terra pulsantiera esterna in cm.,120.0,Altezza da terra pulsantiera interna in cm.,133.0,,,Percorribilita interna - ascensore,Esistenza [Si/No],Si,,,Larghezza in cm.,119.0,Profondita in cm.,103.0,Apertura porta in cm.,80.0,Porta d'entrata - caratteristiche,,,,,Larghezza porta in cm.,126.0,Distanza fra porta e controporta in cm.,0.0,,,Porta d'entrata - apertura,Tipo apertura [Manuale verso interno/Automatica verso interno/Manuale verso esterno/Automatica verso esterno/Manuale scorrevole/Automatica scorrevole/Manuale verso interno ed esterno/Automatica verso interno ed esterno],Manuale verso esterno,,,Altezza maniglia da terra in cm.,104.0,Forza necessaria per aprirla in kg.,2.0,Parcheggi riservati alle persone disabili,Indirizzo del parcheggio riservato,Via al Torrione,Numero posti macchina riservati,1.0,Distanza dall'ingresso in metri,50.0,,,Ingresso - rampa di accesso,Esistenza [Si/No],Si,,,Dislivello in percentuale,10.0,Lunghezza in cm.,1400.0,Servizi igienici - bagno - porta,Verso apertura [Interno/Esterno/Entrambi/Scorrevole],Esterno,,,Larghezza in cm.,90.0,,,Servizi igienici - bagno - lavabo fisso,,,,,Altezza lavabo,73.0,,,Servizi igienici - antibagno - apertura porta,Verso apertura [Interno/Esterno/Entrambi/Scorrevole],Esterno,,,Larghezza in cm.,90.0,,,Ingresso: campanello raggiungibile in sedia a rotelle,Esistenza [Si/No],No,,,,,,,Servizi igienici - bagno - campanello di chiamata,Esistenza [Si/No],Si,,,,,,,Servizi igienici - bagno dedicato - maniglioni di sostegno,Posizione [entrambi i lati/lato accostamento/lato opposto accostamento],lato opposto accostamento,,,,,,,Servizi igienici - bagno attrezzato,Esistenza [Si/No],Si,,,,,,,Servizi igienici - bagno - specchio regolabile,Esistenza [Si/No],Si,,,,,Servizi igienici - bagno ,Esistenza [Si/No],Si,Larghezza in cm.,216.0,Profondità in cm.,190.0,Servizi igienici - antibagno ,Esistenza [Si/No],Si,Larghezza in cm.,157.0,Ingresso - campanello e/o citofono,Esistenza [Si/No],Si,Altezza da terra in cm.,163.0
