,DENOMINAZIONE,ID,INDIRIZZO,CAP,COMUNE,PROVINCIA,COMUNITA DI VALLE,NAZIONE,SITO INTERNET,LATITUDINE,LONGITUDINE,ALTITUDINE,CATEGORIA 1,CATEGORIA 2,CODICE ACCESSIBILITA' 1,CODICE ACCESSIBILITA' 2,CODICE ACCESSIBILITA' 3,CODICE ACCESSIBILITA' 4,CODICE ACCESSIBILITA' 5,CODICE ACCESSIBILITA' 6,CODICE ACCESSIBILITA' 7,CODICE ACCESSIBILITA' 8,CODICE ACCESSIBILITA' 9,CODICE ACCESSIBILITA' 10,CODICE ACCESSIBILITA' 11,CODICE ACCESSIBILITA' 12,CODICE ACCESSIBILITA' 13,CODICE ACCESSIBILITA' 14,DATA ULTIMA MODIFICA,DATA RILEVAZIONE
0,A.M.R. AZIENDA MULTISERVIZI ROVERETO,1088,"VIA PASQUI, 10",38068,Rovereto,TN,Comunita' Della Vallagarina,Italia,www.amr-rovereto.it,45.898446,11.036465,0,Uffici Pubblici,,AI-6fg,AE-2b,AI-6r,AE-3cf,AE-3abde,AE-2g,AE-2gb,AE-2ga,AI-6i,AE-2a,AI-6e,AI-6d,AI-6p,AI-6l,2013-03-11 16:44:31.926,2012-07-10
1,AGENZIA DELLE ENTRATE,887,"CORSO BETTINI, 39",38068,Rovereto,TN,Comunita' Della Vallagarina,Italia,www.agenziaentrate.it,45.893377,11.043826,200,Uffici Pubblici,,AE-3cf,AE-3abde,AE-1abc,AE-2a,AI-6ad,AI-5d,AI-6e,AI-6d,AI-6p,AI-6fg,AI-6bc,AI-6r,AI-6l,,2016-04-04 11:50:16.687,2013-03-06
2,AGENZIA VIAGGI SMART SAS,851,"VIA SCUOLE, 25",38068,Rovereto,TN,Comunita' Della Vallagarina,Italia,,45.8901028,11.0421945,200,Agenzie viaggi e Promozione Turistica,,AE-3cf,AE-3abde,AE-1abc,AE-2d,,,,,,,,,,,2011-06-08 12:37:16,2010-10-22
3,AL TRIVIO,918,"VIA VALBUSA PICCOLA, 11",38068,Rovereto,TN,Comunita' Della Vallagarina,Italia,www.altrivio.it,45.8891819,11.0457873,200,Ristoranti,,AI-6d,AE-3abde,AI-6o,AI-6l,AI-6i,AI-6fg,AI-6e,AI-6ad,AI-6bc,,,,,,2011-06-21 13:58:52,2010-09-28
4,ALLA ROZA,914,"VIA TARTAROTTI, 12",38068,Rovereto,TN,Comunita' Della Vallagarina,Italia,,45.9294604,11.0424566,200,Ristoranti,,AI-6d,AE-3cf,AE-3abde,AI-6o,AI-6l,AI-6i,AI-6fg,AI-6e,AI-6bc,AI-6ad,AE-1abc,,,,2011-06-21 13:15:04,2010-10-13
5,ARI BAR,924,"VIA PAOLI, 7",38068,Rovereto,TN,Comunita' Della Vallagarina,Italia,,45.8918659,11.040192,200,Bar,,AI-6d,AE-3cf,AE-3abde,AI-6fg,AI-6ad,AI-6p,AI-6r,AI-6bc,,,,,,,2013-01-18 14:24:21.941,2010-09-24
6,ART CAFÉ,911,"VIA PORTICI, 6",38068,Rovereto,TN,Comunita' Della Vallagarina,Italia,,45.8873157,11.0450396,200,Bar,,AI-6d,AE-3cf,AE-3abde,AI-6fg,AI-6bc,AI-6ad,AE-2c,AI-6p,AI-6r,,,,,,2013-01-18 10:44:05.212,2010-10-20
7,ASSAPORANDO,915,"PIAZZA MALFATTI, 8/9",38068,Rovereto,TN,Comunita' Della Vallagarina,Italia,,45.888584,11.0444584,200,Ristoranti,,AI-6d,AE-3cf,AE-3abde,AI-6l,AI-6i,AI-6fg,AI-6e,AI-6ad,AI-6r,AI-6bc,,,,,2016-02-22 15:03:08.435,2010-10-13
8,ASSOCIAZIONE MOZART A.M.I.,1387,"VIA DELLA TERRA, 48",38068,Rovereto,TN,Comunita' Della Vallagarina,Italia,www.mozartitalia.org,45.887276,11.045203,0,Associazioni,,AI-6fg,AI-6d,AI-6ad,AI-6bc,AE-1abc,AI-5c,AI-5fa,AE-2b,AE-3abde,AI-5fb,AI-5f,AE-2a,AE-3cf,,2017-01-11 16:12:40.562,2012-07-30
9,ASSOCIAZIONE NAZIONALE VOLONTARI LOTTA CONTRO I TUMORI,895,"CORSO ROSMINI, 8",38068,Rovereto,TN,Comunita' Della Vallagarina,Italia,www.associazioneanvolt.org,45.8909473,11.0398997,200,Associazioni,,AE-3cf,AE-3abde,AE-2a,,,,,,,,,,,,2016-04-04 11:45:42.759,2012-08-08
