,DENOMINAZIONE,ID,INDIRIZZO,COMUNE,PROVINCIA,COMUNITA DI VALLE,NAZIONE,SITO INTERNET,LATITUDINE,LONGITUDINE,ALTITUDINE,CATEGORIA 1,CATEGORIA 2,CODICE ACCESSIBILITA' 1,CODICE ACCESSIBILITA' 2,CODICE ACCESSIBILITA' 3,CODICE ACCESSIBILITA' 4,CODICE ACCESSIBILITA' 5,CODICE ACCESSIBILITA' 6,CODICE ACCESSIBILITA' 7,CODICE ACCESSIBILITA' 8,CODICE ACCESSIBILITA' 9,CODICE ACCESSIBILITA' 10,CODICE ACCESSIBILITA' 11,CODICE ACCESSIBILITA' 12,CODICE ACCESSIBILITA' 13,CODICE ACCESSIBILITA' 14,CODICE ACCESSIBILITA' 15,CODICE ACCESSIBILITA' 16,CODICE ACCESSIBILITA' 17,CODICE ACCESSIBILITA' 18,DATA ULTIMA MODIFICA,DATA RILEVAZIONE
0, BAR CHICCO D'ORO,535,"CORSO BUONARROTI ,12/2",Trento,TN,Territorio Val D'adige,Italia,,46.0760928,11.1194082,200.0,Bar,,AI-6d,AE-3cf,AE-3abde,AI-6p,AI-6i,AI-6fg,AI-6bc,AI-6ad,AE-1abc,AE-2d,AI-6r,,,,,,,,2013-01-14 11:53:09.741,2010-07-20
1,IL PAPIRO LIBRI & CAFFE',27,"VIA GALILEI, 5",Trento,TN,Territorio Val D'adige,Italia,,46.06786,11.12563,241.0,Bar,Librerie,AI-6d,AE-3cf,AE-3abde,AI-6i,AI-6fg,AE-1abc,AE-2d,,,,,,,,,,,,2013-06-06 16:13:46.535,2013-01-14
2,A posto - La tua auto come nuova,378,"Via Tommaso Gar, 27/2",Trento,TN,Territorio Val D'adige,Italia,www.aposto.it,46.0676211,11.1172199,200.0,Riparazione Autovetture,,AE-3cf,,,,,,,,,,,,,,,,,,2010-12-22 10:12:53,2010-08-09
3,A.C.I.S.J.F. Associazione Casa Tridentina della Giovane,381,"Via prepositura, 58",Trento,TN,Territorio Val D'adige,Italia,www.acisjftrento.it,46.069067,11.1185694,200.0,Associazioni,,AI-6d,AI-5fb,AI-5fa,AI-5f,AE-3cf,AE-3abde,AI-6fg,AI-6p,AI-6r,AE-2d,,,,,,,,,2013-01-21 15:47:55.106,2013-01-21
4,A.D.M.O. Associazione Donatori Midollo Osseo,289,"Via Sighele, 7",Trento,TN,Territorio Val D'adige,Italia,www.admotrentino.it,46.060698,11.1236871,180.0,Associazioni,,AI-6d,AE-3cf,AE-3abde,AI-6fg,AE-1abc,AE-2c,,,,,,,,,,,,,2018-01-05 16:21:07.407,2010-05-21
5,A.E.T. ASSOCIAZIONE EMOFILICI TRENTINI,522,"VIA VITTORIO VENETO, 24",Trento,TN,Territorio Val D'adige,Italia,www.associazioneemofilicitrentini.com,46.0579773,11.120349,200.0,Associazioni,,AI-6d,AE-3cf,AE-3abde,AI-6i,AI-6fg,AI-6bc,AE-2gb,AE-2ga,AE-2g,AE-2a,AE-1abc,AI-6p,AI-6ad,AI-6r,,,,,2017-11-17 09:51:39.513,2010-07-16
6,"A.I.D.O. Associazione Italiana per la Donazione di Organi, Tessuti e Cellule",290,"VIA SIGHELE, 7",Trento,TN,Territorio Val D'adige,Italia,www.aido.it/trento,46.060369,11.123736,180.0,Associazioni,,AI-5fb,AI-5fa,AI-5f,AE-3cf,AE-3abde,AE-2b,AI-5c,AE-1abc,AE-2a,,,,,,,,,,2019-06-25 11:30:39.686,2010-05-21
7,A.I.S.L.A onlus - Associazione Italiana Sclerosi Laterale Amiotrofica,621,"VIA FERMI, 23/D",Trento,TN,Territorio Val D'adige,Italia,www.asilatrentinoaltoadige.it,46.048666,11.1290636,200.0,Associazioni,,AE-3cf,AE-1abc,AE-3abde,,,,,,,,,,,,,,,,2018-01-11 16:39:05.872,2010-08-09
8,A.I.S.L.A. ASSOCIAZIONE ITALIANA SCLEROSI LATERALE AMIOTROFICA,1495,"VIA BRONZETTI, 29",Trento,TN,Territorio Val D'adige,Italia,,46.058677,11.121518,200.0,Associazioni,,AE-3abde,AI-5fb,AI-6fg,AI-5fa,AI-6r,AE-1abc,AE-2d,AE-2b,AI-6i,AI-5f,AE-2a,AI-6l,AI-6e,AE-3cf,AI-6p,AI-6d,,,2019-06-24 10:31:42.99,2019-06-10
9,A.L.I.R. Associazione per la Lotta Insufficienza Respiratoria,288,"Via al Torrione, 6",Trento,TN,Territorio Val D'adige,Italia,www.alirtrentino.it,46.065148,11.122281,180.0,Associazioni,,AI-5fb,AI-5fa,AI-5f,AE-3cf,AE-3abde,AE-1abc,AE-2d,AI-6fg,AI-6r,AI-6bc,AE-2b,AI-6i,AI-6l,AI-6e,AI-6p,AI-6d,AI-6ad,AE-2a,2019-06-05 10:56:20.437,2010-05-24
10,A.L.P.I.  COOPERATIVA AVVIAMENTO AL LAVORO SU PROGETTI INDIVIDUALIZZATI,780,"VIA RAGAZZI DEL 99, 13",Trento,TN,Territorio Val D'adige,Italia,www.coop-alpi.it,46.0730641,11.1222183,200.0,Cooperative e Laboratori Sociali,,AI-6d,AE-3abde,AI-6o,AI-6l,AI-6i,AI-6fg,AI-6e,AE-3cf,AE-2a,,,,,,,,,,2018-01-18 14:34:20.877,2010-07-26
11,A.M.A. Auto Mutuo Aiuto ,282,"Via Torre d'Augusto, 2/1",Trento,TN,Territorio Val D'adige,Italia,www.automutuoaiuto.it,46.0731224,11.1251985,180.0,Associazioni,,AI-6d,AI-5b,AE-3cf,AE-3abde,AI-6fg,AE-1abc,AE-2c,,,,,,,,,,,,2010-06-09 12:26:46,2010-05-24
12,A.N.F.F.A.S. Associazione Nazionale di Famiglie di Persone con Disabilità Intellettiva e Relazionale,302,"Via Trener, 8",Trento,TN,Territorio Val D'adige,Italia,www.anffas.it,46.0956201,11.1193494,180.0,Associazioni,,AI-6d,AE-3cf,AE-3abde,AI-6fg,AI-6e,AE-1abc,AE-2c,,,,,,,,,,,,2010-06-15 14:33:42,2010-05-18
