,ID,DESCRIZIONE ACCESSIBILITA' 1,DESCRIZIONE STRINGA1 (ACCESSIBILITA' 1),VALORE STRINGA1 (ACCESSIBILITA' 1),DESCRIZIONE DECIMALE1 (ACCESSIBILITA' 1),VALORE DECIMALE1 (ACCESSIBILITA' 1),DESCRIZIONE DECIMALE2 (ACCESSIBILITA' 1),VALORE DECIMALE2 (ACCESSIBILITA' 1),DESCRIZIONE DECIMALE3 (ACCESSIBILITA' 1),VALORE DECIMALE3 (ACCESSIBILITA' 1),DESCRIZIONE ACCESSIBILITA' 2,DESCRIZIONE STRINGA1 (ACCESSIBILITA' 2),VALORE STRINGA1 (ACCESSIBILITA' 2),DESCRIZIONE DECIMALE1 (ACCESSIBILITA' 2),VALORE DECIMALE1 (ACCESSIBILITA' 2),DESCRIZIONE DECIMALE2 (ACCESSIBILITA' 2),VALORE DECIMALE2 (ACCESSIBILITA' 2),DESCRIZIONE ACCESSIBILITA' 3,DESCRIZIONE STRINGA1 (ACCESSIBILITA' 3),VALORE STRINGA1 (ACCESSIBILITA' 3),DESCRIZIONE NUMERO1 (ACCESSIBILITA' 3),VALORE NUMERO1 (ACCESSIBILITA' 3),DESCRIZIONE DECIMALE1 (ACCESSIBILITA' 3),VALORE DECIMALE1 (ACCESSIBILITA' 3),DESCRIZIONE DECIMALE2 (ACCESSIBILITA' 3),VALORE DECIMALE2 (ACCESSIBILITA' 3),DESCRIZIONE ACCESSIBILITA' 4,DESCRIZIONE STRINGA1 (ACCESSIBILITA' 4),VALORE STRINGA1 (ACCESSIBILITA' 4),DESCRIZIONE DECIMALE1 (ACCESSIBILITA' 4),VALORE DECIMALE1 (ACCESSIBILITA' 4),DESCRIZIONE DECIMALE2 (ACCESSIBILITA' 4),VALORE DECIMALE2 (ACCESSIBILITA' 4),DESCRIZIONE ACCESSIBILITA' 5,DESCRIZIONE STRINGA1 (ACCESSIBILITA' 5),VALORE STRINGA1 (ACCESSIBILITA' 5),DESCRIZIONE DECIMALE1 (ACCESSIBILITA' 5),VALORE DECIMALE1 (ACCESSIBILITA' 5),DESCRIZIONE DECIMALE2 (ACCESSIBILITA' 5),VALORE DECIMALE2 (ACCESSIBILITA' 5),DESCRIZIONE ACCESSIBILITA' 6,DESCRIZIONE STRINGA1 (ACCESSIBILITA' 6),VALORE STRINGA1 (ACCESSIBILITA' 6),DESCRIZIONE DECIMALE1 (ACCESSIBILITA' 6),VALORE DECIMALE1 (ACCESSIBILITA' 6),DESCRIZIONE DECIMALE2 (ACCESSIBILITA' 6),VALORE DECIMALE2 (ACCESSIBILITA' 6),DESCRIZIONE ACCESSIBILITA' 7,DESCRIZIONE STRINGA1 (ACCESSIBILITA' 7),VALORE STRINGA1 (ACCESSIBILITA' 7),DESCRIZIONE DECIMALE1 (ACCESSIBILITA' 7),VALORE DECIMALE1 (ACCESSIBILITA' 7),DESCRIZIONE ACCESSIBILITA' 8,DESCRIZIONE STRINGA1 (ACCESSIBILITA' 8),VALORE STRINGA1 (ACCESSIBILITA' 8),DESCRIZIONE DECIMALE1 (ACCESSIBILITA' 8),VALORE DECIMALE1 (ACCESSIBILITA' 8),DESCRIZIONE ACCESSIBILITA' 9,DESCRIZIONE STRINGA1 (ACCESSIBILITA' 9),VALORE STRINGA1 (ACCESSIBILITA' 9),DESCRIZIONE DECIMALE1 (ACCESSIBILITA' 9),VALORE DECIMALE1 (ACCESSIBILITA' 9),DESCRIZIONE ACCESSIBILITA' 10,DESCRIZIONE STRINGA1 (ACCESSIBILITA' 10),VALORE STRINGA1 (ACCESSIBILITA' 10),DESCRIZIONE DECIMALE1 (ACCESSIBILITA' 10),VALORE DECIMALE1 (ACCESSIBILITA' 10),DESCRIZIONE ACCESSIBILITA' 11,DESCRIZIONE STRINGA1 (ACCESSIBILITA' 11),VALORE STRINGA1 (ACCESSIBILITA' 11),DESCRIZIONE DECIMALE1 (ACCESSIBILITA' 11),VALORE DECIMALE1 (ACCESSIBILITA' 11),DESCRIZIONE ACCESSIBILITA' 12,DESCRIZIONE STRINGA1 (ACCESSIBILITA' 12),VALORE STRINGA1 (ACCESSIBILITA' 12),DESCRIZIONE DECIMALE1 (ACCESSIBILITA' 12),VALORE DECIMALE1 (ACCESSIBILITA' 12),DESCRIZIONE ACCESSIBILITA' 13,DESCRIZIONE ACCESSIBILITA' 14
0,1088,Servizi igienici - bagno - porta,Verso apertura [Interno/Esterno/Entrambi/Scorrevole],Esterno,Larghezza in cm.,80.0,,,,,Ingresso: campanello raggiungibile in sedia a rotelle,Esistenza [Si/No],No,,,,,Servizi igienici - bagno - lavabo fisso,,,,,Altezza lavabo,80.0,,,Porta d'entrata - caratteristiche,,,Larghezza porta in cm.,85.0,Distanza fra porta e controporta in cm.,0.0,Porta d'entrata - apertura,Tipo apertura [Manuale verso interno/Automatica verso interno/Manuale verso esterno/Automatica verso esterno/Manuale scorrevole/Automatica scorrevole/Manuale verso interno ed esterno/Automatica verso interno ed esterno],Manuale verso esterno,Altezza maniglia da terra in cm.,90.0,Forza necessaria per aprirla in kg.,2.0,Ingresso - ascensore,Esistenza [Si/No],Si,Larghezza in cm.,140.0,Profondità in cm.,140.0,Ingresso - ascensore - pulsantiera braille,Esistenza [Si/No],Si,,,Ingresso - ascensore - pulsantiera,Esistenza [Si/No],Si,Altezza da terra pulsantiera esterna in cm.,110.0,Servizi igienici - bagno - campanello di chiamata,Esistenza [Si/No],Si,,,Ingresso - campanello e/o citofono,Esistenza [Si/No],Si,Altezza da terra in cm.,145.0,Servizi igienici - bagno attrezzato,Esistenza [Si/No],Si,,,Servizi igienici - bagno ,Esistenza [Si/No],Si,Larghezza in cm.,200.0,Servizi igienici - bagno - specchio regolabile,Servizi igienici - bagno dedicato - maniglioni di sostegno
1,887,Porta d'entrata - caratteristiche,,,Larghezza porta in cm.,80.0,Distanza fra porta e controporta in cm.,0.0,,,Porta d'entrata - apertura,Tipo apertura [Manuale verso interno/Automatica verso interno/Manuale verso esterno/Automatica verso esterno/Manuale scorrevole/Automatica scorrevole/Manuale verso interno ed esterno/Automatica verso interno ed esterno],Manuale verso interno,Altezza maniglia da terra in cm.,140.0,Forza necessaria per aprirla in kg.,2.0,Parcheggi riservati alle persone disabili,Indirizzo del parcheggio riservato,CORSO BETTINI,Numero posti macchina riservati,1.0,Distanza dall'ingresso in metri,10.0,,,Ingresso - campanello e/o citofono,Esistenza [Si/No],Si,Altezza da terra in cm.,90.0,,,Servizi igienici - antibagno ,Esistenza [Si/No],Si,Larghezza in cm.,234.0,Profondita in cm.,232.0,Percorribilita interna - servoscala,Esistenza [Si/No],Si,Larghezza in cm.,72.0,Profondita in cm.,86.0,Servizi igienici - bagno attrezzato,Esistenza [Si/No],Si,,,Servizi igienici - bagno ,Esistenza [Si/No],Si,Larghezza in cm.,199.0,Servizi igienici - bagno - specchio regolabile,Esistenza [Si/No],No,,,Servizi igienici - bagno - porta,Verso apertura [Interno/Esterno/Entrambi/Scorrevole],Interno,Larghezza in cm.,90.0,Servizi igienici - antibagno - apertura porta,Verso apertura [Interno/Esterno/Entrambi/Scorrevole],Interno,Larghezza in cm.,90.0,Servizi igienici - bagno - lavabo fisso,,,Altezza lavabo,79.0,Servizi igienici - bagno dedicato - maniglioni di sostegno,
2,851,Porta d'entrata - caratteristiche,,,Larghezza porta in cm.,77.0,Distanza fra porta e controporta in cm.,0.0,,,Porta d'entrata - apertura,Tipo apertura [Manuale verso interno/Automatica verso interno/Manuale verso esterno/Automatica verso esterno/Manuale scorrevole/Automatica scorrevole/Manuale verso interno ed esterno/Automatica verso interno ed esterno],Manuale verso interno,Altezza maniglia da terra in cm.,90.0,Forza necessaria per aprirla in kg.,1.5,Parcheggi riservati alle persone disabili,Indirizzo del parcheggio riservato,VIA TARTAROTTI,Numero posti macchina riservati,1.0,Distanza dall'ingresso in metri,40.0,,,Ingresso - rampa di accesso,Esistenza [Si/No],Si,Dislivello in percentuale,20.5,Lunghezza in cm.,45.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,918,Servizi igienici - bagno ,Esistenza [Si/No],Si,Larghezza in cm.,245.0,Profondità in cm.,189.0,Altezza wc in cm.,49.0,Porta d'entrata - apertura,Tipo apertura [Manuale verso interno/Automatica verso interno/Manuale verso esterno/Automatica verso esterno/Manuale scorrevole/Automatica scorrevole/Manuale verso interno ed esterno/Automatica verso interno ed esterno],Manuale verso interno,Altezza maniglia da terra in cm.,109.0,Forza necessaria per aprirla in kg.,1.5,Servizi igienici - bagno - lavabo  regolabile,Esistenza [Si/No],No,,,,,,,Servizi igienici - bagno dedicato - maniglioni di sostegno,Posizione [entrambi i lati/lato accostamento/lato opposto accostamento],entrambi i lati,,,,,Servizi igienici - bagno - campanello di chiamata,Esistenza [Si/No],Si,,,,,Servizi igienici - bagno - porta,Verso apertura [Interno/Esterno/Entrambi/Scorrevole],Esterno,Larghezza in cm.,90.0,,,Servizi igienici - bagno attrezzato,Esistenza [Si/No],Si,,,Servizi igienici - antibagno ,Esistenza [Si/No],Si,Larghezza in cm.,138.0,Servizi igienici - antibagno - apertura porta,Verso apertura [Interno/Esterno/Entrambi/Scorrevole],Interno,Larghezza in cm.,86.0,,,,,,,,,,,,,,,,,
4,914,Servizi igienici - bagno ,Esistenza [Si/No],Si,Larghezza in cm.,197.0,Profondità in cm.,244.0,Altezza wc in cm.,49.0,Porta d'entrata - caratteristiche,,,Larghezza porta in cm.,175.0,Distanza fra porta e controporta in cm.,0.0,Porta d'entrata - apertura,Tipo apertura [Manuale verso interno/Automatica verso interno/Manuale verso esterno/Automatica verso esterno/Manuale scorrevole/Automatica scorrevole/Manuale verso interno ed esterno/Automatica verso interno ed esterno],Manuale verso interno,,,Altezza maniglia da terra in cm.,105.0,Forza necessaria per aprirla in kg.,2.0,Servizi igienici - bagno - lavabo  regolabile,Esistenza [Si/No],No,,,,,Servizi igienici - bagno dedicato - maniglioni di sostegno,Posizione [entrambi i lati/lato accostamento/lato opposto accostamento],entrambi i lati,,,,,Servizi igienici - bagno - campanello di chiamata,Esistenza [Si/No],Si,,,,,Servizi igienici - bagno - porta,Verso apertura [Interno/Esterno/Entrambi/Scorrevole],Esterno,Larghezza in cm.,90.0,Servizi igienici - bagno attrezzato,Esistenza [Si/No],Si,,,Servizi igienici - antibagno - apertura porta,Verso apertura [Interno/Esterno/Entrambi/Scorrevole],Esterno,Larghezza in cm.,91.0,Servizi igienici - antibagno ,Esistenza [Si/No],Si,Larghezza in cm.,150.0,Parcheggi riservati alle persone disabili,Indirizzo del parcheggio riservato,VIA TARTAROTTI,Distanza dall'ingresso in metri,25.0,,,,,,,
5,924,Servizi igienici - bagno ,Esistenza [Si/No],Si,Larghezza in cm.,124.0,Profondità in cm.,84.0,Altezza wc in cm.,40.0,Porta d'entrata - caratteristiche,,,Larghezza porta in cm.,81.0,Distanza fra porta e controporta in cm.,0.0,Porta d'entrata - apertura,Tipo apertura [Manuale verso interno/Automatica verso interno/Manuale verso esterno/Automatica verso esterno/Manuale scorrevole/Automatica scorrevole/Manuale verso interno ed esterno/Automatica verso interno ed esterno],Manuale verso interno,,,Altezza maniglia da terra in cm.,115.0,Forza necessaria per aprirla in kg.,1.0,Servizi igienici - bagno - porta,Verso apertura [Interno/Esterno/Entrambi/Scorrevole],Interno,Larghezza in cm.,60.0,,,Servizi igienici - antibagno ,Esistenza [Si/No],Si,Larghezza in cm.,77.0,Profondita in cm.,125.0,Servizi igienici - bagno - specchio regolabile,Esistenza [Si/No],No,,,,,Servizi igienici - bagno - lavabo fisso,,,Altezza lavabo,79.0,Servizi igienici - antibagno - apertura porta,Verso apertura [Interno/Esterno/Entrambi/Scorrevole],Interno,Larghezza in cm.,60.0,,,,,,,,,,,,,,,,,,,,,,
6,911,Servizi igienici - bagno ,Esistenza [Si/No],Si,Larghezza in cm.,164.0,Profondità in cm.,166.0,Altezza wc in cm.,52.0,Porta d'entrata - caratteristiche,,,Larghezza porta in cm.,94.0,Distanza fra porta e controporta in cm.,0.0,Porta d'entrata - apertura,Tipo apertura [Manuale verso interno/Automatica verso interno/Manuale verso esterno/Automatica verso esterno/Manuale scorrevole/Automatica scorrevole/Manuale verso interno ed esterno/Automatica verso interno ed esterno],Manuale verso interno,,,Altezza maniglia da terra in cm.,90.0,Forza necessaria per aprirla in kg.,2.0,Servizi igienici - bagno - porta,Verso apertura [Interno/Esterno/Entrambi/Scorrevole],Esterno,Larghezza in cm.,89.0,,,Servizi igienici - antibagno - apertura porta,Verso apertura [Interno/Esterno/Entrambi/Scorrevole],Scorrevole,Larghezza in cm.,89.0,,,Servizi igienici - antibagno ,Esistenza [Si/No],Si,Larghezza in cm.,146.0,Profondita in cm.,174.0,Ingresso - gradini o soglie esterni,Esistenza [Si/No],Si,Altezza da terra in cm.,8.0,Servizi igienici - bagno - specchio regolabile,Esistenza [Si/No],Si,,,Servizi igienici - bagno - lavabo fisso,,,Altezza lavabo,86.0,,,,,,,,,,,,,,,,,
7,915,Servizi igienici - bagno ,Esistenza [Si/No],Si,Larghezza in cm.,191.0,Profondità in cm.,255.0,Altezza wc in cm.,49.0,Porta d'entrata - caratteristiche,,,Larghezza porta in cm.,85.0,Distanza fra porta e controporta in cm.,0.0,Porta d'entrata - apertura,Tipo apertura [Manuale verso interno/Automatica verso interno/Manuale verso esterno/Automatica verso esterno/Manuale scorrevole/Automatica scorrevole/Manuale verso interno ed esterno/Automatica verso interno ed esterno],Manuale verso interno,,,Altezza maniglia da terra in cm.,0.0,Forza necessaria per aprirla in kg.,2.0,Servizi igienici - bagno dedicato - maniglioni di sostegno,Posizione [entrambi i lati/lato accostamento/lato opposto accostamento],entrambi i lati,,,,,Servizi igienici - bagno - campanello di chiamata,Esistenza [Si/No],Si,,,,,Servizi igienici - bagno - porta,Verso apertura [Interno/Esterno/Entrambi/Scorrevole],Esterno,Larghezza in cm.,81.0,,,Servizi igienici - bagno attrezzato,Esistenza [Si/No],Si,,,Servizi igienici - antibagno ,Esistenza [Si/No],Si,Larghezza in cm.,610.0,Servizi igienici - bagno - lavabo fisso,,,Altezza lavabo,78.0,Servizi igienici - antibagno - apertura porta,Verso apertura [Interno/Esterno/Entrambi/Scorrevole],Interno,Larghezza in cm.,79.0,,,,,,,,,,,,
8,1387,Servizi igienici - bagno - porta,Verso apertura [Interno/Esterno/Entrambi/Scorrevole],Interno,Larghezza in cm.,70.0,,,,,Servizi igienici - bagno ,Esistenza [Si/No],Si,Larghezza in cm.,106.0,Profondità in cm.,189.0,Servizi igienici - antibagno ,Esistenza [Si/No],Si,,,Larghezza in cm.,157.0,Profondita in cm.,200.0,Servizi igienici - antibagno - apertura porta,Verso apertura [Interno/Esterno/Entrambi/Scorrevole],Interno,Larghezza in cm.,70.0,,,Parcheggi riservati alle persone disabili,Indirizzo del parcheggio riservato,PIAZZA PODESTA',Distanza dall'ingresso in metri,80.0,,,Percorribilita interna - rampa/scivolo,Esistenza [Si/No],Si,Pendenza in percentuale,11.0,Lunghezza in cm.,88.0,Percorribilita interna  - ascensore - pulsantiera,Esistenza [Si/No],Si,Altezza da terra pulsantiera esterna in cm.,117.0,Ingresso: campanello raggiungibile in sedia a rotelle,Esistenza [Si/No],Si,,,Porta d'entrata - apertura,Tipo apertura [Manuale verso interno/Automatica verso interno/Manuale verso esterno/Automatica verso esterno/Manuale scorrevole/Automatica scorrevole/Manuale verso interno ed esterno/Automatica verso interno ed esterno],Manuale verso interno,Altezza maniglia da terra in cm.,108.0,Percorribilita interna  - ascensore - pulsantiera braille,Esistenza [Si/No],Si,,,Percorribilita interna - ascensore,Esistenza [Si/No],Si,Larghezza in cm.,157.0,Ingresso - campanello e/o citofono,Esistenza [Si/No],Si,Altezza da terra in cm.,143.0,Porta d'entrata - caratteristiche,
9,895,Porta d'entrata - caratteristiche,,,Larghezza porta in cm.,90.0,Distanza fra porta e controporta in cm.,0.0,,,Porta d'entrata - apertura,Tipo apertura [Manuale verso interno/Automatica verso interno/Manuale verso esterno/Automatica verso esterno/Manuale scorrevole/Automatica scorrevole/Manuale verso interno ed esterno/Automatica verso interno ed esterno],Manuale verso interno,Altezza maniglia da terra in cm.,106.0,Forza necessaria per aprirla in kg.,4.0,Ingresso - campanello e/o citofono,Esistenza [Si/No],Si,,,Altezza da terra in cm.,140.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
