,Unnamed: 0,has_latitude,has_longitude,information,opening_hours,facility_type,smoking,architecturalBarriers,name,sport,has_capacity,menu,hiking,has_location,has_contactPoint
0,0,45.89232635498047,11.03329849243164,no information specified,,parking,,ab_49902,,,,"{'cuisine': None, 'isVegetarian': None, 'isVegan': None, 'isGlutenFree': None}",,269440263,cp_7449478496
1,1,45.84537506103516,11.013041496276855,no information specified,,attraction,,ab_91967,'Ruina Dantesca',,,"{'cuisine': None, 'isVegetarian': None, 'isVegan': None, 'isGlutenFree': None}",,270076323,cp_4317069097
2,2,45.89741897583008,11.045305252075195,no information specified,,parking,,ab_14015,,,,"{'cuisine': None, 'isVegetarian': None, 'isVegan': None, 'isGlutenFree': None}",,270097398,cp_1533778709
3,3,45.873985290527344,11.038881301879885,no information specified,,attraction,,ab_4682,'Campana dei Caduti',,,"{'cuisine': None, 'isVegetarian': None, 'isVegan': None, 'isGlutenFree': None}",,270099585,cp_9250708891
4,4,45.913536071777344,11.039809226989746,no information specified,,parking,,ab_43952,,,,"{'cuisine': None, 'isVegetarian': None, 'isVegan': None, 'isGlutenFree': None}",,303383004,cp_9782506275
5,5,45.88018035888672,11.019862174987791,no information specified,,picnic_site,,ab_91283,,,,"{'cuisine': None, 'isVegetarian': None, 'isVegan': None, 'isGlutenFree': None}",,305051248,cp_2312420089
6,6,45.877471923828125,11.018155097961426,no information specified,,picnic_site,,ab_52206,,,,"{'cuisine': None, 'isVegetarian': None, 'isVegan': None, 'isGlutenFree': None}",,306243653,cp_7375112536
7,7,45.86643600463867,11.00608253479004,no information specified,,picnic_site,,ab_15309,,,,"{'cuisine': None, 'isVegetarian': None, 'isVegan': None, 'isGlutenFree': None}",,307140760,cp_6608360736
8,8,45.88118743896485,11.070011138916016,no information specified,,parking,,ab_35737,'Parcheggio campo sportivo',,,"{'cuisine': None, 'isVegetarian': None, 'isVegan': None, 'isGlutenFree': None}",,369442791,cp_4809294369
9,9,45.88426971435547,11.072999000549316,no information specified,,parking,,ab_92742,,,,"{'cuisine': None, 'isVegetarian': None, 'isVegan': None, 'isGlutenFree': None}",,369443036,cp_7507806003
10,10,45.89007186889648,11.043947219848633,no information specified,,cafe,,ab_29234,'Caffè Bontadi',,,"{'cuisine': None, 'isVegetarian': None, 'isVegan': None, 'isGlutenFree': None}",,417409264,cp_2432110735
11,11,45.87514114379883,11.033567428588867,no information specified,,restaurant,,ab_52229,'Pizzeria Botti',,,"{'cuisine': 'pizza', 'isVegetarian': None, 'isVegan': None, 'isGlutenFree': None}",,417856704,cp_9137659970
12,12,45.90397644042969,11.078351020812988,no information specified,,viewpoint,,ab_75438,,,,"{'cuisine': None, 'isVegetarian': None, 'isVegan': None, 'isGlutenFree': None}",,419251171,cp_3245391866
13,13,45.90674209594727,11.105379104614258,guidepost,,information,,ab_41923,'MTB',,,"{'cuisine': None, 'isVegetarian': None, 'isVegan': None, 'isGlutenFree': None}",,421806674,cp_9370792544
14,14,45.874847412109375,11.033246994018556,no information specified,,restaurant,,ab_43684,'Pizzeria Okay',,,"{'cuisine': None, 'isVegetarian': None, 'isVegan': None, 'isGlutenFree': None}",,445562136,cp_5550299132
