,Unnamed: 0,Unnamed: 0.1,city,country,housenumber,postcode,street,region,osm_ID,has_latitude,has_longitude,has_province,has_administrativeArea
0,0,0,Rovereto,it,,38068.0,,Trentino-Alto Adige,269440263,45.89232635498047,11.03329849243164,TN,22161
1,1,1,,it,,,,Trentino-Alto Adige,270076323,45.84537506103516,11.013041496276855,TN,22205
2,2,2,,it,,,,Trentino-Alto Adige,270097398,45.89741897583008,11.045305252075195,TN,22205
3,3,3,,it,,,,Trentino-Alto Adige,270099585,45.873985290527344,11.038881301879885,TN,22205
4,4,4,,it,,,,Trentino-Alto Adige,303383004,45.913536071777344,11.039809226989746,TN,22205
5,5,5,,it,,,,Trentino-Alto Adige,305051248,45.88018035888672,11.019862174987791,TN,22205
6,6,6,,it,,,,Trentino-Alto Adige,306243653,45.877471923828125,11.018155097961426,TN,22205
7,7,7,,it,,,,Trentino-Alto Adige,307140760,45.86643600463867,11.00608253479004,TN,22205
8,8,8,,it,,,,Trentino-Alto Adige,369442791,45.88118743896485,11.070011138916016,TN,22205
9,9,9,,it,,,,Trentino-Alto Adige,369443036,45.88426971435547,11.072999000549316,TN,22205
10,10,10,Rovereto,it,14,38068.0,Piazza Cesare Battisti,Trentino-Alto Adige,417409264,45.89007186889648,11.043947219848633,TN,22161
11,11,11,,it,,,,Trentino-Alto Adige,417856704,45.87514114379883,11.033567428588867,TN,22205
12,12,12,,it,,,,Trentino-Alto Adige,419251171,45.90397644042969,11.078351020812988,TN,22205
13,13,13,,it,,,,Trentino-Alto Adige,421806674,45.90674209594727,11.105379104614258,TN,22205
14,14,14,,it,,,,Trentino-Alto Adige,445562136,45.874847412109375,11.033246994018556,TN,22205
15,15,15,,it,,,,Trentino-Alto Adige,454567272,45.89010620117188,11.109387397766112,TN,22205
16,16,16,,it,,,,Trentino-Alto Adige,476777392,45.84833526611328,11.00319480895996,TN,22205
17,17,17,,it,,,,Trentino-Alto Adige,516509675,45.88969421386719,11.01616668701172,TN,22205
18,18,18,,it,,,,Trentino-Alto Adige,516509678,45.88903045654297,11.016215324401855,TN,22205
19,19,19,,it,,,,Trentino-Alto Adige,516509712,45.90138244628906,11.02995491027832,TN,22205
20,20,20,,it,,,,Trentino-Alto Adige,516509715,45.89918899536133,11.027949333190918,TN,22205
21,21,21,,it,,,,Trentino-Alto Adige,516509717,45.898956298828125,11.027665138244627,TN,22205
22,22,22,,it,,,,Trentino-Alto Adige,516509719,45.8624267578125,10.99949073791504,TN,22205
23,23,23,,it,,,,Trentino-Alto Adige,516520290,45.83891296386719,11.001465797424316,TN,22205
24,24,24,,it,,,,Trentino-Alto Adige,524599074,45.91416931152344,11.040568351745604,TN,22205
25,25,25,,it,,,,Trentino-Alto Adige,614868084,45.85211944580078,11.010229110717772,TN,22205
26,26,26,,it,,,,Trentino-Alto Adige,614868158,45.85438919067383,11.012250900268556,TN,22205
27,27,27,,it,,,,Trentino-Alto Adige,614868257,45.85491180419922,11.014522552490234,TN,22205
28,28,28,,it,,,,Trentino-Alto Adige,614868311,45.856910705566406,11.019243240356444,TN,22205
29,29,29,,it,,,,Trentino-Alto Adige,614926907,45.8524169921875,11.010878562927246,TN,22205
30,30,30,,it,,,,Trentino-Alto Adige,618787853,45.85580825805664,11.018006324768066,TN,22205
31,31,31,,it,,,,Trentino-Alto Adige,618788142,45.86246490478516,11.033446311950684,TN,22205
32,32,32,,it,,,,Trentino-Alto Adige,648183974,45.89097595214844,11.034255027770996,TN,22205
33,33,33,,it,,,,Trentino-Alto Adige,664123464,45.88184356689453,11.024230003356934,TN,22205
34,34,34,,it,,,,Trentino-Alto Adige,664123468,45.88199234008789,11.024859428405762,TN,22205
35,35,35,,it,,,,Trentino-Alto Adige,692740839,45.84357833862305,11.008539199829102,TN,22205
36,36,36,,it,,,,Trentino-Alto Adige,715298544,45.902130126953125,11.066655158996582,TN,22205
37,37,37,,it,,,,Trentino-Alto Adige,777284830,45.9041748046875,11.043258666992188,TN,22205
38,38,38,Rovereto,it,20E,38068.0,Via Paoli,Trentino-Alto Adige,780142013,45.89273452758789,11.04003620147705,TN,22161
39,39,39,,it,,,,Trentino-Alto Adige,802269764,45.88872528076172,11.043112754821776,TN,22205
40,40,40,Rovereto,it,40,38068.0,Via Dante Alighieri,Trentino-Alto Adige,806751374,45.888370513916016,11.040579795837402,TN,22161
41,41,41,,it,,,,Trentino-Alto Adige,883455523,45.88531875610352,11.03002643585205,TN,22205
42,42,42,,it,,,,Trentino-Alto Adige,903941484,45.86443710327149,11.028525352478027,TN,22205
43,43,43,,it,,,,Trentino-Alto Adige,915652265,45.87255859375,11.024307250976562,TN,22205
44,44,44,,it,,,,Trentino-Alto Adige,989258588,45.84086990356445,11.045178413391112,TN,22205
45,45,45,,it,,,,Trentino-Alto Adige,1126466839,45.85215759277344,11.033161163330078,TN,22205
46,46,46,,it,,,,Trentino-Alto Adige,1126466857,45.85567855834961,11.026084899902344,TN,22205
47,47,47,,it,,,,Trentino-Alto Adige,1126515681,45.86088943481445,11.014381408691406,TN,22205
48,48,48,,it,,,,Trentino-Alto Adige,1139425028,45.84551239013672,11.037425994873049,TN,22205
49,49,49,,it,,,,Trentino-Alto Adige,1139425226,45.84576797485352,11.036543846130373,TN,22205
50,50,50,,it,,,,Trentino-Alto Adige,1154395699,45.9085578918457,11.04050636291504,TN,22205
51,51,51,,it,,,,Trentino-Alto Adige,1154395707,45.9084358215332,11.04045867919922,TN,22205
52,52,52,,it,,,,Trentino-Alto Adige,1172286405,45.894527435302734,11.04323387145996,TN,22205
53,53,53,,it,,,,Trentino-Alto Adige,1226652361,45.84428024291992,11.049418449401855,TN,22205
54,54,54,,it,,,,Trentino-Alto Adige,1273084924,45.90739440917969,11.059138298034668,TN,22205
55,55,55,,it,,,,Trentino-Alto Adige,1300585590,45.87721252441406,11.033884048461914,TN,22205
56,56,56,,it,,,,Trentino-Alto Adige,1350658043,45.857421875,11.001477241516112,TN,22205
57,57,57,Rovereto,it,20,38068.0,Borgo Santa Caterina,Trentino-Alto Adige,1366734642,45.88980865478516,11.039705276489258,TN,22161
58,58,58,,it,,,,Trentino-Alto Adige,1374813267,45.88731002807617,11.062677383422852,TN,22205
59,59,59,,it,,,,Trentino-Alto Adige,1402541403,45.89644241333008,11.040804862976074,TN,22205
60,60,60,,it,,,,Trentino-Alto Adige,1442631799,45.8961296081543,11.11950969696045,TN,22205
61,61,61,,it,,,,Trentino-Alto Adige,1479411597,45.8878288269043,11.068081855773926,TN,22205
62,62,62,,it,,,,Trentino-Alto Adige,1508795331,45.80276870727539,11.057520866394045,TN,22205
63,63,63,,it,,,,Trentino-Alto Adige,1838686233,45.84274291992188,11.007575035095217,TN,22205
64,64,64,Rovereto,it,18,38068.0,Santa Maria,Trentino-Alto Adige,1985829027,45.88547134399414,11.04470157623291,TN,22161
65,65,65,Rovereto,it,38,38068.0,Via Portici,Trentino-Alto Adige,1992954489,45.88695907592773,11.045169830322266,TN,22161
66,66,66,,it,,,,Trentino-Alto Adige,2150998976,45.87535858154297,11.033438682556152,TN,22205
67,67,67,,it,,,,Trentino-Alto Adige,2154616596,45.8900032043457,11.029582023620604,TN,22205
68,68,68,,it,,,,Trentino-Alto Adige,2159310289,45.88917922973633,11.044614791870115,TN,22205
69,69,69,,it,,,,Trentino-Alto Adige,2159317571,45.889495849609375,11.044875144958496,TN,22205
70,70,70,Rovereto,it,18,38068.0,Via Roma,Trentino-Alto Adige,2159318291,45.88963317871094,11.043471336364746,TN,22161
71,71,71,Rovereto,it,24,38068.0,Corso Bettini,Trentino-Alto Adige,2159362024,45.89158248901367,11.043752670288086,TN,22161
72,72,72,,it,,,,Trentino-Alto Adige,2164525589,45.88816833496094,11.052062034606934,TN,22205
73,73,73,,it,,,,Trentino-Alto Adige,2171057706,45.89948654174805,11.041558265686035,TN,22205
74,74,74,Rovereto,it,31 E,38068.0,Viale Trento,Trentino-Alto Adige,2173939085,45.90085983276367,11.042067527770996,TN,22161
75,75,75,,it,,,,Trentino-Alto Adige,2191481474,45.88776779174805,11.100862503051758,TN,22205
76,76,76,Rovereto,it,18,38068.0,Via delle Scuole,Trentino-Alto Adige,2482401350,45.88988876342773,11.04219913482666,TN,22161
77,77,77,,it,,,,Trentino-Alto Adige,2482496415,45.89108657836914,11.04336166381836,TN,22205
78,78,78,Rovereto,it,28,38068.0,Via Giuseppe Garibaldi,Trentino-Alto Adige,2484653256,45.89018249511719,11.041335105895996,TN,22161
79,79,79,Rovereto,it,14,38068.0,Via delle Scuole,Trentino-Alto Adige,2484736017,45.88995361328125,11.04220199584961,TN,22161
80,80,80,Rovereto,it,7,38068.0,Via della Croce,Trentino-Alto Adige,2484736018,45.88996887207031,11.04133415222168,TN,22161
81,81,81,,it,,,,Trentino-Alto Adige,2484736019,45.88912963867188,11.042221069335938,TN,22205
82,82,82,,it,,,,Trentino-Alto Adige,2484736030,45.88837432861328,11.041534423828123,TN,22205
83,83,83,,it,,,,Trentino-Alto Adige,2484736031,45.888519287109375,11.044824600219728,TN,22205
84,84,84,,it,,,,Trentino-Alto Adige,2484872540,45.89102554321289,11.041471481323242,TN,22205
85,85,85,,it,,,,Trentino-Alto Adige,2485113274,45.89107894897461,11.04373836517334,TN,22205
86,86,86,,it,,,,Trentino-Alto Adige,2485130499,45.8858528137207,11.045780181884766,TN,22205
87,87,87,,it,,,,Trentino-Alto Adige,2485130500,45.88587188720703,11.045747756958008,TN,22205
88,88,88,,it,,,,Trentino-Alto Adige,2485140729,45.889286041259766,11.04222297668457,TN,22205
89,89,89,Rovereto,it,82/d,38068.0,Corso Antonio Rosmini,Trentino-Alto Adige,2486092346,45.89076232910156,11.037881851196287,TN,22161
90,90,90,Rovereto,it,,38068.0,Viale Trento,Trentino-Alto Adige,2491278462,45.90494918823242,11.040772438049316,TN,22161
91,91,91,Rovereto,it,20,,Piazza Malfatti,Trentino-Alto Adige,2493523507,45.887794494628906,11.04454231262207,TN,22161
92,92,92,,it,,,,Trentino-Alto Adige,2509331932,45.90833282470703,11.040472030639648,TN,22205
93,93,93,Rovereto,it,8,38068.0,Via Fortunato Zeni,Trentino-Alto Adige,2509341606,45.89059448242188,11.032063484191896,TN,22161
94,94,94,Rovereto,it,77,38068.0,Viale Trento,Trentino-Alto Adige,2638148201,45.90771484375,11.040985107421877,TN,22161
95,95,95,Rovereto,it,9,38068.0,Via Abetone,Trentino-Alto Adige,2638148558,45.8890495300293,11.033533096313477,TN,22161
96,96,96,,it,,,,Trentino-Alto Adige,2841347980,45.904052734375,11.03700828552246,TN,22205
97,97,97,,it,,,,Trentino-Alto Adige,2870563114,45.82794570922852,11.050745964050291,TN,22205
98,98,98,,it,,,,Trentino-Alto Adige,2870563115,45.82769775390625,11.05189609527588,TN,22205
99,99,99,,it,,,,Trentino-Alto Adige,2870575147,45.81632995605469,11.053653717041016,TN,22205
100,100,100,,it,,,,Trentino-Alto Adige,2872557496,45.81509017944336,11.056804656982422,TN,22205
101,101,101,,it,,,,Trentino-Alto Adige,2881112697,45.84098434448242,11.046082496643066,TN,22205
102,102,102,Rovereto,it,8,38068.0,Piazza Malfatti,Trentino-Alto Adige,2946662243,45.88800048828125,11.044631004333496,TN,22161
103,103,103,Rovereto,it,51,38068.0,Via Paganini,Trentino-Alto Adige,3076630067,45.89183044433594,11.04212474822998,TN,22161
104,104,104,Rovereto,it,2/F,38068.0,Via Campagnole,Trentino-Alto Adige,3116375600,45.88882827758789,11.03594970703125,TN,22161
105,105,105,Rovereto,it,9,38068.0,Via Roma,Trentino-Alto Adige,3230336766,45.889923095703125,11.043506622314451,TN,22161
106,106,106,Rovereto,it,37,38068.0,Via Dante Alighieri,Trentino-Alto Adige,3281937447,45.88804626464844,11.040311813354492,TN,22161
107,107,107,,it,,,,Trentino-Alto Adige,3312642477,45.88631820678711,11.04631233215332,TN,22205
108,108,108,Rovereto,it,42,38068.0,Via Giosuè Carducci,Trentino-Alto Adige,3334278990,45.88928985595703,11.041951179504396,TN,22161
109,109,109,,it,,,,Trentino-Alto Adige,3463722730,45.8072395324707,11.058968544006348,TN,22205
110,110,110,Rovereto,it,12,38068.0,Piazza Malfatti,Trentino-Alto Adige,3699585392,45.887813568115234,11.044767379760742,TN,22161
111,111,111,Rovereto,it,12,38068.0,Via Piomarta,Trentino-Alto Adige,3813891780,45.8955307006836,11.039850234985352,TN,22161
