remoteId,published,modified,Nome,"Abstract (descrizione in breve)",Indirizzo,Presso,CAP,Località,Telefono,"Telefono alternativo",Fax,"Casella postale",E-mail,"Sito WEB","Pagina Facebook",Categoria,Circoscrizione,Materia,Argomento,Contatti,Referente,"Ruolo del referente",lat,lon,address,"Indirizzo del referente","Telefono del referente","Fax del referente",Scheda,Immagine,Codice,"Data di inizio validità","Data di archiviazione","Parola chiave","Codice Fiscale","Partita IVA"
associazione-254,2008-01-01T00:00:00+01:00,2014-04-22T12:06:38+02:00,"Associazione Musicale Argentario","Associazione Musicale Argentario","Fraz. Martignano",,38121,Trento,"0461 820322",,"0461 820322",,chinitarcisio@libero.it,,,,"Circoscrizione n. 06 - Argentario",Musica,,,,,0,0,,,,,"Svolge attività nal campo musicale, organizzando eventi (concerti), incontri, serate d'ascolto, corsi di formazione",,254,2008-01-01T00:00:00+01:00,2050-12-31T00:00:00+01:00,,,
associazione-1372,2008-01-01T00:00:00+01:00,2018-10-22T11:41:53+02:00,"Gruppo Sportivo Belvedere A. S. D.",,"VIA SANTA MARINA 46/2",,38123,Trento,,,,,,http://www.gsbelvedere.it,,,"Circoscrizione n. 05 - Ravina - Romagnano","Sport
Pallacanestro",,,,,46.034893,11.112837,"Via Santa Marina, Maso Pez, Trento, Territorio Val d&#039;Adige, TN, Trentino-Alto Adige, 38123, Italia",,,,"Il G.S. Belvedere inizia con l'attività di Minibasket nel 1993 e dal 1996 è affiliato alla Federazione Italiana Pallacanestro e iscrive le squadre ai campionati giovanili federali maschili. Dalla stagione 2009/2010 la 1&amp;deg;squadra maschile milita nel campionato regionale serie D.Dalla stagione 2011/12 abbiamo dato corpo ad un progetto nato dalla collaborazione fra le diverse realtà cestistiche di Trento e dintorni, che ha lo scopo di costruire un settore giovanile e senior del Basket Femminile convogliando al GS BELVEDERE tutte le ragazzine nel momento di passaggio dal Minibasket al Basket. Discipline praticate: minibasket, pallacanestro femminile e pallacanestro maschile.  ",/var/comunetn/storage/images/aree-tematiche/sport/associazioni/gruppo-sportivo-belvedere-a.-s.-d/7924887-2-ita-IT/Gruppo-Sportivo-Belvedere-A.-S.-D.png,1372,2008-01-01T00:00:00+01:00,2050-12-31T00:00:00+01:00,,,
associazione-1819,2008-01-01T00:00:00+01:00,2018-10-22T09:50:40+02:00,"ASD Virtus Trento",,"VIA DEL MASO SMALZ 11",,38122,Trento,,,,,,http://www.virtustrento.it,,,"Circoscrizione n. 11 - S. Giuseppe S. Chiara","Sport
Calcio",,,,,46.053079,11.115661,"Via del Maso Smalz, Man Malpensada, San Pio X, Trento, Territorio Val d&#039;Adige, TN, Trentino-Alto Adige, 38100, Italia",,,,"La Virtus Trento è un'Associazione Sportiva Dilettantistica fondata a Trento il 30 ottobre 1947. Nel ricco panorama dell'associazionismo trentino, la Virtus occupa senz'altro un posto di rilievo. La sua storia è certamente un po' la storia di tutto il mondo del volontariato sportivo di questa nostra terra: un mondo in cui i valori come la gratuità dell'impegno, la passione generosa, la costanza sono il tratto distintivo e indiscutibile. Oltre mezzo secolo di vita è un traguardo importante. Ma la Virtus questi sessantasei anni se li porta addosso con grande vitalità. Il suo è ancora un cammino giovane, forse perchè proprio i giovani, con il loro entusiasmo, con la loro fresca energia, ne sono la linfa vitale. Il segreto di questo sodalizio è racchiuso appunto in questa sua capacità di lavorare per i giovani e non soltanto accanto ai giovani.L'associazione è una scuola calcio riconosciuta F.I.G.C. Le attività sono rivolte a tutte le categorie di base e giovanili F.I.G.C., giovani dilettanti, Juniores e dilettanti, 1^squadra e calcio a 5-serie D e la fascia d'età è compresa tra 5-16 anni. L'attività sportiva si svolge annualmente presso il Campo Talamo a Trento.",/var/comunetn/storage/images/aree-tematiche/sport/associazioni/asd-virtus-trento/7931430-2-ita-IT/ASD-Virtus-Trento.jpg,1819,2008-01-01T00:00:00+01:00,2050-12-31T00:00:00+01:00,,,
associazione-2497,2014-02-10T00:00:00+01:00,2018-10-22T13:37:24+02:00,"Sanda Fight Club A.S.D.",,"VIA SAN BERNARDINO 14/1",,38122,Trento,,,,,,http://www.sandafightclub.it,,,"Circoscrizione n. 11 - S. Giuseppe S. Chiara","Sport
Arti marziali",,,,,46.063954,11.133008,"Via San Bernardino, Cernidor, Bolghera, Trento, Territorio Val d&#039;Adige, TN, Trentino-Alto Adige, 38100, Italia",,,,"La A.S.D. SANDA FIGHT CLUB è un'associazione sportiva dilettantistica riconosciuta dal C.O.N.I. e nata nel 2007 per sviluppare ed accrescere l'apprendimento teorico e pratico delle Arti Marziali e del combattimento sportivo cinese (Kick boxing cinese) e le arti marziali miste. L'Associazione sportiva è nata per volontà del maestro Khaled Said e grazie alla collaborazione dei suoi colleghi Maestri e Istruttori uniti insieme dalla passione per le arti marziali.L'Associazione si è formata da una squadra molto piccola di 10 bambini in una valle di un piccolo paese di montagna ed oggi è una delle più grandi realtà sportive presenti sul territorio trentino. La maggiore attività agonistica è il Sanshuo dal 2007. Affiliata alla Federazione Italiana, con grande soddisfazione, per i risultati ottenuti nei vari campionati nel corso di questi ultimi 4 anni. Ogni stagione sportiva l'associazione partecipa ai campionati ufficiali della F.I.W.U.K. e ad altri eventi regionali, interregionali e nazionali con altri enti sportivi.Le attività realizzate dall'Associazione sono: Kung Fu, Kick Boxing bambini, Kickbox cinese (Sanda) e Sanda Light. Il Sanda è il combattimento sportivo a contatto pieno originato dal Kung Fu moderno, i combattimenti di Sanda si possono vedere ormai durante qualsiasi gara o manifestazione relativa al Kung Fu e sta conoscendo la via del professionismo in qualche nazione (Cina, Iran, Egitto, America, Russia, Italia). Il Sanda moderno viene praticato con pantaloncini corti e canotta e/o maglietta e nel combattimento sono previste le seguenti protezioni: caschetto aperto, corpetto, guantoni da 10 oz, conchiglia e parapiedi.L'associazione organizza annualmente dei corsi a partire da settembre fino a fine maggio rivolti alla fascia di età 6-35 anni presso il &quot;Centro Sportivo G. Manazzon&quot;.",/var/comunetn/storage/images/aree-tematiche/sport/associazioni/sanda-fight-club-a.s.d/7931457-5-ita-IT/Sanda-Fight-Club-A.S.D.png,2497,2014-02-10T00:00:00+01:00,2050-12-31T00:00:00+01:00,,,
associazione-699,2008-01-01T00:00:00+01:00,2015-06-09T13:09:57+02:00,"Cittadinanzattiva - Tribunale per i diritti del malato - onlus","Tribunale del malato","Via Concordia, 25",,38066,"Riva del Garda",0464552869,," 0464552869",,info@cittadinanzattivadeltrentino.it,,,,,"Volontariato e solidarietà
Assistenza",Sanità," SEDE LOCALE del TRIBUNALE PER I DIRITTI DEL MALATO di TRENTO – VIA PAOLO ORSI 1 – TRENTO - Tel. 0461-902456 Fax. 0461-902441, mail: 						
					                tdm@apss.tn.it
    
 .",,,0,0,,,,," Cittadinanzattiva – Tribunale per i diritti del malato del Trentino, è un movimento apartitico, di partecipazione civica, che dal 1978 promuove la partecipazione dei cittadini sul fronte della tutela dei loro diritti per rimuovere le situazioni di ingiustizia e sofferenza. Il nostro ruolo di “cittadini attivi”, è quello di impegnarci nel volontariato con competenza, attenzione, costanza e gratuità, attraverso campagne di informazione, monitoraggi ed indagini nei servizi sanitari, con proposte concrete per risolvere i problemi quotidiani che emergono tramite le molte segnalazioni dei cittadini, che vengono raccolte presso le nostre numerose sedi locali del Tribunale per i diritti del malato, situate all’interno delle strutture ospedaliere, per tutelare gratuitamente i cittadini che si rivolgono a noi. Consapevoli che quanto segnalato dal cittadino può rappresentare un problema di carattere generale da sottoporre e da risolvere per il bene di tutta la collettività e soprattutto dei soggetti più deboli, noi interveniamo presso le autorità competenti affinché le criticità e le problematiche a noi segnalate siano risolte nel più breve tempo possibile, procedendo se necessario nelle azioni idonee a garantire una tutela concreta dei diritti.",,699,2008-01-01T00:00:00+01:00,2050-12-31T00:00:00+01:00,,,
associazione-2284,2008-12-19T00:00:00+01:00,2018-10-22T13:42:24+02:00,"SHUITAO La Via dell'Acqua a.c.s.d.",,"VIA MARSALA 9",,38122,Trento,,,,,,http://www.shuitao.it,,,"Circoscrizione n. 10 - Oltrefersina","Sport
Discipline orientali",,,,,46.055257,11.123859,"Via Marsala, Man Malpensada, San Giuseppe, Trento, Territorio Val d&#039;Adige, TN, Trentino-Alto Adige, 38100, Italia",,,,"E' un'associazione che da circa 20 anni si occupa della pratica, studio e ricerca integrata di discipline orientali ed occidentali che &quot;pro-muovano le potenzialità umane&quot; e favoriscano uno sviluppo armonico della persona. A questo scopo propone:- Corsi di Taichi nelle forme Yang &amp;ndash; Chen &amp;ndash; Spada;- Corsi di Qi Gong e Qi Gong Medico;- Incontri di Meditazione ZEN;- Percorsi di gruppo con tecniche Psicosintetiche e Taichi;- Corsi di calligrafia cinese;- Conferenze, incontri di studio, dibattiti, proiezioni.Il tai-chi è nato in Cina dal Taoismo, dal Buddismo Chan e dalla medicina cinese. Porta equilibrio, salute ed energia; è movimento fisico-energetico e mentale, è meditazione dinamica, è unaraffinata arte marziale. Ognuno può praticarla per i fini che ritiene più utili alle proprie esigenze, alla propria evoluzione.La forza del tai-chi sta nell'integrazione della forma codificata con la propria natura interiore.La Meditazione ZEN: meditare non è tanto fermarsi a riflettere su un particolare argomento con le sopracciglia aggrottate, ma &quot;medit-are&quot; può essere tradotto meglio come &quot;andare verso il centro&quot; &amp;hellip;&amp;hellip;il proprio centro e scoprire la propria vera natura, sedendosi quietamente.Per maggiori informazioni sulle altre discipline si consiglia di vedere il sito web dell'Associazione.",/var/comunetn/storage/images/aree-tematiche/sport/associazioni/shuitao-la-via-dell-acqua-a.c.s.d2/8140849-7-ita-IT/SHUITAO-La-Via-dell-Acqua-a.c.s.d.png,2284,2008-12-19T00:00:00+01:00,,,,
associazione-2341,2009-11-12T00:00:00+01:00,2018-10-22T10:54:11+02:00,"Associazione Polisportiva Dilettantistica Il Sole all'Orizzonte",,"Via Alla Pelegrina, 39",,38122,Trento,,,,,,,,,"Circoscrizione n. 06 - Argentario","Sport
Arti marziali",,,,,46.076458,11.13867,"Via alla Pelegrina, Marnighe, Trento, Territorio Val d&#039;Adige, TN, Trentino-Alto Adige, 38122, Italia",,,,"La polisportiva sviluppa a Trento dal 1984 l'arte marziale tradizionale cino-vietnamita Qwan Ki Do. I corsi si svolgono presso le palestre delle scuole Bernardi di Cognola, Sanzio e Manzoni di Trento. Opera nel settore delle ARTI MARZIALI",,2341,2009-11-12T00:00:00+01:00,2050-04-10T00:00:00+01:00,"qwan ki do",,
associazione-2394,2010-11-19T00:00:00+01:00,2019-02-08T16:19:35+01:00,"ACSD La Gualdana del Malconsiglio","Associazione di ricerca e ricostruzione storica medievale XIV secolo","Via Poli, 13",,38123,Trento,"340 1769736",,,,lagualdana@gmail.com,,"la Gualdana",,"Circoscrizione n. 08 - Mattarello","Scienze sociali
Cultura dei popoli
Sport","Associazioni e volontariato",,,,46.005938,11.128652,"Via Poli, Maso Pez, Trento, Territorio Val d&#039;Adige, TN, Trentino-Alto Adige, 38128, Italia",,,,"
Nata dall’esperienza decennale della Compagnia Arcieri Storici Trentini, La Gualdana, attiva dal 2009, è un’associazione di ricerca e
di ricostruzione storica medievale impegnata nella formazione e nella divulgazione della scherma e dell’uso dell’arco storico, nonché
della conoscenza di diversi aspetti della vita materiale medievale (in particolare in riferimento al secolo XIV – anni ’40 – ’60 del 1300).
Attività organizzate:
- Intrattenimento connesso alla rievocazione storica (attività didattiche e laboratori sulla storia materiale medievale, dimostrazioni di
combattimento con armi bianche (spade, daghe...) o da tiro (archi e balestre...); duelli, spettacoli, battaglie, allestimento di un
accampamento militare, animazione e scene civili in interno ed esterno);
- Corso di tiro con l’arco- Corso di scherma storica (in associazione con l’associazione “A: Marozzo”)",/var/comunetn/storage/images/ulteriori-sezioni/area-riservata/associazioni-urp/associazioni/acsd-la-gualdana-del-malconsiglio/8141969-3-ita-IT/ACSD-La-Gualdana-del-Malconsiglio.jpg,2394,2010-11-19T00:00:00+01:00,2050-12-31T00:00:00+01:00,gualdana;scherma;arco;,,
associazione-1906,2008-01-01T00:00:00+01:00,2018-10-22T13:38:49+02:00,"Sci Club Agonistica Trentina (ex Ski team podio)",,"VIA CARLO E VALERIA JULG 5","Centro Civico Marnighe",38121,Trento,,,,,,http://www.agonisticatrentina.it,,,"Circoscrizione n. 06 - Argentario","Sport
Discipline alpine",,,,,46.077037,11.141902,"Via Carlo e Valeria J&uuml;lg, Marnighe, Trento, Territorio Val d&#039;Adige, TN, Trentino-Alto Adige, 38122, Italia",,,,"Organizza per le squadre agonistiche quattro uscite settimanali di allenamento (compreso il sabato) e le uscite del fine settimana per la partecipazione alle competizioni.L'Associazione organizza corsi promozionali della durata di 10 giorni durante il periodo natalizio.",,1906,2008-01-01T00:00:00+01:00,2050-04-10T00:00:00+01:00,,,
associazione-1907,2008-01-01T00:00:00+01:00,2018-10-22T13:39:46+02:00,"Sci Club Città di Trento A.S.D.",,"Corso Buonarroti, 10/D",,38122,Trento,,,,,,,,,"Circoscrizione n. 12 - Centro storico - Piedicastello","Sport
Discipline alpine",,,,,46.071357,11.117213,"Corso Michelangelo Buonarroti, Piedicastello, Trento, Territorio Val d&#039;Adige, TN, Trentino-Alto Adige, 38122, Italia",,,,"
La nostra associazione sportiva è nata nel 1959; attraverso successivi
aggiornamenti statutari, organizzativi e di denominazione, nel 1990 diventa Sci
Club Città di Trento. La fiducia nello sport, come spazio di crescita e palestra di
sana competizione, sono solo alcuni dei motivi di aggregazione per i nostri soci.
Lo Sci Club Città di Trento è lo Sci Club storico della città ha avuto tra i propri
rappresentanti sindaci e personaggi che ne hanno fatto la storia e soprattutto
ha avuto, nel passato, centinaia di iscritti e di ragazzi che sono stati avviati allapratica dello sci alpino e, molti fra questi, alla professione di Maestro di Sci.
I corsi di sci alpino, che si svolgono sulle nevi del Monte Bondone, sono corsi
dedicati ai bambini, suddivisi nei vari gruppi e accompagnati dai maestri della
scuola di sci Monte Bondone.
I corsi preagonistici ed agonistici, invece, prevedono maggiore impegno per
quanto riguarda gli allenamenti, che possono arrivare fino a tre settimanali.
Tutto ciò con lo scopo di rinforzare la squadra così da rendere sempre più
preparato e competitivo il nostro team, pronto a partecipare alle gare di
circuito, nelle varie categorie, su tutto il territorio regionale.
SCI CLUB CITTA’ DI TRENTO A.D.
Tra i nostri soci abbiamo una buona percentuale di allievi che, dimostrando
ottima attitudine allo sci, sono selezionati ed indirizzati ai corsi &quot;superiori&quot; dispecializzazione e di preparazione alle competizioni.",/var/comunetn/storage/images/citta/vivi-la-citta/associazioni/sci-club-citta-di-trento-a.s.d/8136533-2-ita-IT/Sci-Club-Citta-di-Trento-A.S.D.jpg,1907,2008-01-01T00:00:00+01:00,2050-12-31T00:00:00+01:00,,,
