,has_organizationID,has_name,has_description,has_addr:street,has_addr:housenumber,has_addr:postcode,has_municipality,has_fax,has_phone,has_email,has_website,has_socialNetwork,has_organizationType,has_category,has_hashtag,has_administrator,has_administratorRole,has_logo,has_foundationYear,has_administratorPhone,has_administratorAddress,has_fiscalCode
0,org_254,Associazione Musicale Argentario,Associazione Musicale Argentario,,,38121,Trento,0461 820322,0461 820322,chinitarcisio@libero.it,,,,Musica,,,,,2008,,,
1,org_1372,Gruppo Sportivo Belvedere A. S. D.,"Il G.S. Belvedere inizia con l'attività di Minibasket nel 1993 e dal 1996 è affiliato alla Federazione Italiana Pallacanestro e iscrive le squadre ai campionati giovanili federali maschili. Dalla stagione 2009/2010 la 1&deg;squadra maschile milita nel campionato regionale serie D.Dalla stagione 2011/12 abbiamo dato corpo ad un progetto nato dalla collaborazione fra le diverse realtà cestistiche di Trento e dintorni, che ha lo scopo di costruire un settore giovanile e senior del Basket Femminile convogliando al GS BELVEDERE tutte le ragazzine nel momento di passaggio dal Minibasket al Basket. Discipline praticate: minibasket, pallacanestro femminile e pallacanestro maschile.  ",Via Santa Marina,,38123,Trento,,,,http://www.gsbelvedere.it,,,"Sport
Pallacanestro",,,,/var/comunetn/storage/images/aree-tematiche/sport/associazioni/gruppo-sportivo-belvedere-a.-s.-d/7924887-2-ita-IT/Gruppo-Sportivo-Belvedere-A.-S.-D.png,1993,,,
2,org_1819,ASD Virtus Trento,"La Virtus Trento è un'Associazione Sportiva Dilettantistica fondata a Trento il 30 ottobre 1947. Nel ricco panorama dell'associazionismo trentino, la Virtus occupa senz'altro un posto di rilievo. La sua storia è certamente un po' la storia di tutto il mondo del volontariato sportivo di questa nostra terra: un mondo in cui i valori come la gratuità dell'impegno, la passione generosa, la costanza sono il tratto distintivo e indiscutibile. Oltre mezzo secolo di vita è un traguardo importante. Ma la Virtus questi sessantasei anni se li porta addosso con grande vitalità. Il suo è ancora un cammino giovane, forse perchè proprio i giovani, con il loro entusiasmo, con la loro fresca energia, ne sono la linfa vitale. Il segreto di questo sodalizio è racchiuso appunto in questa sua capacità di lavorare per i giovani e non soltanto accanto ai giovani.L'associazione è una scuola calcio riconosciuta F.I.G.C. Le attività sono rivolte a tutte le categorie di base e giovanili F.I.G.C., giovani dilettanti, Juniores e dilettanti, 1^squadra e calcio a 5-serie D e la fascia d'età è compresa tra 5-16 anni. L'attività sportiva si svolge annualmente presso il Campo Talamo a Trento.",Via del Maso Smalz,,38122,Trento,,,,http://www.virtustrento.it,,,"Sport
Calcio",,,,/var/comunetn/storage/images/aree-tematiche/sport/associazioni/asd-virtus-trento/7931430-2-ita-IT/ASD-Virtus-Trento.jpg,2008,,,
3,org_2497,Sanda Fight Club A.S.D.,"La A.S.D. SANDA FIGHT CLUB è un'associazione sportiva dilettantistica riconosciuta dal C.O.N.I. e nata nel 2007 per sviluppare ed accrescere l'apprendimento teorico e pratico delle Arti Marziali e del combattimento sportivo cinese (Kick boxing cinese) e le arti marziali miste. L'Associazione sportiva è nata per volontà del maestro Khaled Said e grazie alla collaborazione dei suoi colleghi Maestri e Istruttori uniti insieme dalla passione per le arti marziali.L'Associazione si è formata da una squadra molto piccola di 10 bambini in una valle di un piccolo paese di montagna ed oggi è una delle più grandi realtà sportive presenti sul territorio trentino. La maggiore attività agonistica è il Sanshuo dal 2007. Affiliata alla Federazione Italiana, con grande soddisfazione, per i risultati ottenuti nei vari campionati nel corso di questi ultimi 4 anni. Ogni stagione sportiva l'associazione partecipa ai campionati ufficiali della F.I.W.U.K. e ad altri eventi regionali, interregionali e nazionali con altri enti sportivi.Le attività realizzate dall'Associazione sono: Kung Fu, Kick Boxing bambini, Kickbox cinese (Sanda) e Sanda Light. Il Sanda è il combattimento sportivo a contatto pieno originato dal Kung Fu moderno, i combattimenti di Sanda si possono vedere ormai durante qualsiasi gara o manifestazione relativa al Kung Fu e sta conoscendo la via del professionismo in qualche nazione (Cina, Iran, Egitto, America, Russia, Italia). Il Sanda moderno viene praticato con pantaloncini corti e canotta e/o maglietta e nel combattimento sono previste le seguenti protezioni: caschetto aperto, corpetto, guantoni da 10 oz, conchiglia e parapiedi.L'associazione organizza annualmente dei corsi a partire da settembre fino a fine maggio rivolti alla fascia di età 6-35 anni presso il ""Centro Sportivo G. Manazzon"".",Via San Bernardino,,38122,Trento,,,,http://www.sandafightclub.it,,,"Sport
Arti marziali",,,,/var/comunetn/storage/images/aree-tematiche/sport/associazioni/sanda-fight-club-a.s.d/7931457-5-ita-IT/Sanda-Fight-Club-A.S.D.png,2007,,,
4,org_2284,SHUITAO La Via dell'Acqua a.c.s.d.,"E' un'associazione che da circa 20 anni si occupa della pratica, studio e ricerca integrata di discipline orientali ed occidentali che ""pro-muovano le potenzialità umane"" e favoriscano uno sviluppo armonico della persona. A questo scopo propone:- Corsi di Taichi nelle forme Yang &ndash; Chen &ndash; Spada;- Corsi di Qi Gong e Qi Gong Medico;- Incontri di Meditazione ZEN;- Percorsi di gruppo con tecniche Psicosintetiche e Taichi;- Corsi di calligrafia cinese;- Conferenze, incontri di studio, dibattiti, proiezioni.Il tai-chi è nato in Cina dal Taoismo, dal Buddismo Chan e dalla medicina cinese. Porta equilibrio, salute ed energia; è movimento fisico-energetico e mentale, è meditazione dinamica, è unaraffinata arte marziale. Ognuno può praticarla per i fini che ritiene più utili alle proprie esigenze, alla propria evoluzione.La forza del tai-chi sta nell'integrazione della forma codificata con la propria natura interiore.La Meditazione ZEN: meditare non è tanto fermarsi a riflettere su un particolare argomento con le sopracciglia aggrottate, ma ""medit-are"" può essere tradotto meglio come ""andare verso il centro"" &hellip;&hellip;il proprio centro e scoprire la propria vera natura, sedendosi quietamente.Per maggiori informazioni sulle altre discipline si consiglia di vedere il sito web dell'Associazione.",Via Marsala,,38122,Trento,,,,http://www.shuitao.it,,,"Sport
Discipline orientali",,,,/var/comunetn/storage/images/aree-tematiche/sport/associazioni/shuitao-la-via-dell-acqua-a.c.s.d2/8140849-7-ita-IT/SHUITAO-La-Via-dell-Acqua-a.c.s.d.png,2008,,,
5,org_2341,Associazione Polisportiva Dilettantistica Il Sole all'Orizzonte,"La polisportiva sviluppa a Trento dal 1984 l'arte marziale tradizionale cino-vietnamita Qwan Ki Do. I corsi si svolgono presso le palestre delle scuole Bernardi di Cognola, Sanzio e Manzoni di Trento. Opera nel settore delle ARTI MARZIALI",Via alla Pelegrina,,38122,Trento,,,,,,,"Sport
Arti marziali",qwan ki do,,,,1984,,,
6,org_2394,ACSD La Gualdana del Malconsiglio,Associazione di ricerca e ricostruzione storica medievale XIV secolo,Via Poli,,38123,Trento,,340 1769736,lagualdana@gmail.com,,la Gualdana,,"Scienze sociali
Cultura dei popoli
Sport",gualdana;scherma;arco;,,,/var/comunetn/storage/images/ulteriori-sezioni/area-riservata/associazioni-urp/associazioni/acsd-la-gualdana-del-malconsiglio/8141969-3-ita-IT/ACSD-La-Gualdana-del-Malconsiglio.jpg,2009,,,
7,org_1906,Sci Club Agonistica Trentina (ex Ski team podio),Organizza per le squadre agonistiche quattro uscite settimanali di allenamento (compreso il sabato) e le uscite del fine settimana per la partecipazione alle competizioni.L'Associazione organizza corsi promozionali della durata di 10 giorni durante il periodo natalizio.,Via Carlo e Valeria Jülg,,38121,Trento,,,,http://www.agonisticatrentina.it,,,"Sport
Discipline alpine",,,,,2008,,,
8,org_1907,Sci Club Città di Trento A.S.D.,"
La nostra associazione sportiva è nata nel 1959; attraverso successivi
aggiornamenti statutari, organizzativi e di denominazione, nel 1990 diventa Sci
Club Città di Trento. La fiducia nello sport, come spazio di crescita e palestra di
sana competizione, sono solo alcuni dei motivi di aggregazione per i nostri soci.
Lo Sci Club Città di Trento è lo Sci Club storico della città ha avuto tra i propri
rappresentanti sindaci e personaggi che ne hanno fatto la storia e soprattutto
ha avuto, nel passato, centinaia di iscritti e di ragazzi che sono stati avviati allapratica dello sci alpino e, molti fra questi, alla professione di Maestro di Sci.
I corsi di sci alpino, che si svolgono sulle nevi del Monte Bondone, sono corsi
dedicati ai bambini, suddivisi nei vari gruppi e accompagnati dai maestri della
scuola di sci Monte Bondone.
I corsi preagonistici ed agonistici, invece, prevedono maggiore impegno per
quanto riguarda gli allenamenti, che possono arrivare fino a tre settimanali.
Tutto ciò con lo scopo di rinforzare la squadra così da rendere sempre più
preparato e competitivo il nostro team, pronto a partecipare alle gare di
circuito, nelle varie categorie, su tutto il territorio regionale.
SCI CLUB CITTA’ DI TRENTO A.D.
Tra i nostri soci abbiamo una buona percentuale di allievi che, dimostrando
ottima attitudine allo sci, sono selezionati ed indirizzati ai corsi ""superiori"" dispecializzazione e di preparazione alle competizioni.",Corso Michelangelo Buonarroti,,38122,Trento,,,,,,,"Sport
Discipline alpine",,,,/var/comunetn/storage/images/citta/vivi-la-citta/associazioni/sci-club-citta-di-trento-a.s.d/8136533-2-ita-IT/Sci-Club-Citta-di-Trento-A.S.D.jpg,1959,,,
9,org_1730,"Unione scacchistica trentina, A.S.D.P.S.","L'A.S.D.P.S.  Unione scacchistica trentina conta la metà dei tesserati trentini alla Fisi: é riconosciuta dal 2005 come scuola di scacchi dalla FSI.Organizza campionati provinciali per under 16 e per adulti, con possibilità di corsi di scacchi per gli interessati.",,,38121,Trento,,,,,,,"Sport
Scacchi e dama",,,,/var/comunetn/storage/images/aree-tematiche/sport/associazioni/unione-scacchistica-trentina-a.s.d.p.s/8134505-3-ita-IT/UNIONE-SCACCHISTICA-TRENTINA-A.S.D.P.S.jpg,2005,328 4480649,,
